// DIFF REMOVED 305 
// HASH_VALUE 06EAD2619679EB60
// INDEX 0
certifs_rpjob_certifs_title	[Use your $certifs.p$]
rpjob_what_do_you_want_16_	[You have produced 16 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE B8C5B9FE9BA7C18A
// INDEX 363
rpjob_what_do_you_want_18_	[You have produced 18 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE B6D5B9FE9BA7C18A
// INDEX 364
rpjob_what_do_you_want_20_	[You have produced 20 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE F6D5B9FE9BA7C18A
// INDEX 365
rpjob_what_do_you_want_21_	[You have produced 21 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE B7D5B9FE9BA7C18A
// INDEX 366
rpjob_what_do_you_want_24_	[You have produced 24 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE B8D5B9FE9BA7C18A
// INDEX 367
rpjob_what_do_you_want_28_	[You have produced 28 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 9220894B3A565A25
// INDEX 368
rpjob_what_do_you_want_3_	[You have produced 3 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 9230894B3A565A25
// INDEX 369
rpjob_what_do_you_want_4_	[You have produced 4 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 9250894B3A565A25
// INDEX 370
rpjob_what_do_you_want_6_	[You have produced 6 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 9270894B3A565A25
// INDEX 371
rpjob_what_do_you_want_8_	[You have produced 8 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE 9280894B3A565A25
// INDEX 372
rpjob_what_do_you_want_9_	[You have produced 9 items.\n
	\n
	What do you want to do?]

// DIFF REMOVED 5236 
// HASH_VALUE D26C836963B22253
// INDEX 373
rpjob_win_double_elements	[Keep half of $product.pda$ $product.p$ for your personal use and use the other half to gain experience.]

// DIFF REMOVED 5236 
// HASH_VALUE 1B56768F8A432F80
// INDEX 374
rpjob_win_elements	[Keep $product.pda$ $product.p$ for your personal use.]

// DIFF REMOVED 5236 
// HASH_VALUE 70FE8F006FB04008
// INDEX 375
rpjob_win_level	[Congratulations! You have earned an advancement to the next grade.]

// DIFF REMOVED 5236 
// HASH_VALUE 930C2E155339142A
// INDEX 376
rpjob_win_xp	[Leave $product.pda$ $product.p$ on $givervar$ to show to $master$ and gain you some experience.]

// DIFF REMOVED 5236 
// HASH_VALUE D28AF174196BA6D6
// INDEX 377
rpjob_win_xp_message	[Good job! You are really making progress. Continue like this.]

// DIFF REMOVED 5236 
// HASH_VALUE 5FF21B31823EF7DD
// INDEX 378
rpjob_win_xp_miss_elements	[You have not gained the necessary experience. Practice some more.]

// DIFF REMOVED 5236 
// HASH_VALUE 6505395740E55E37
// INDEX 379
rpjob_win_xp_system_msg_m	[&XP&You gain experience in being $jobitem.ia$ $jobitem$!]

// DIFF REMOVED 5236 
// HASH_VALUE A418FDC2F2394E83
// INDEX 380
rpjob_win_xp_system_msg_f	[&XP&You gain experience in being $jobitem.pia$ $jobitem.p$!]

// DIFF REMOVED 5236 
// HASH_VALUE 9DE28963C34ED4F6
// INDEX 381
rpjob_yes_want_sign_m	[Yes, I want to become $jobitem.ia$ $jobitem$.]

// DIFF REMOVED 5236 
// HASH_VALUE EEA2BA604E6081B0
// INDEX 382
rpjob_yes_want_sign_f	[Yes, I want to become $jobitem.pia$ $jobitem.p$.]

// DIFF REMOVED 6262 
// HASH_VALUE 5B35312700F9DCED
// INDEX 383
task_rpjob_task_title_m	[Obtain necessities for $jobitem.da$ $jobitem$ ($version$/2) :\n
	$element.da$ $element.p$]

// DIFF REMOVED 6262 
// HASH_VALUE BD180CF2658177DA
// INDEX 384
task_rpjob_task_title_f	[Obtain necessities for $jobitem.pda$ $jobitem.p$ ($version$/2) :\n
	$element.da$ $element.p$]

// DIFF REMOVED 8131 
// HASH_VALUE 73CF2A7F09FF6199
// INDEX 385
upgrade_rpjob_upgrade_title	[Improve your components ($version$/2) :\n
	$element.da$ $element.p$]


