// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]
	Хомин, ты уверен, что хочешь двигаться дальше?]

// HASH_VALUE 003129F5449F1810
// INDEX 5529
newbieland_ranger_xleavetheland_kara_ques_f	[Да, я могу помочь тебе отправиться на континент. \n
	Могущество Джены позволит переместить тебя в столицу, принадлежащую хоминам твоей расы. \n
	Будь осторожна, континент очень опасен для начинающего! Перед тем, как оставить эти земли, тебе нужно как следует потренироваться...\n
	Хомин, ты уверена, что хочешь двигаться дальше?]

// HASH_VALUE 48DC41F901185207
// INDEX 5530
newbieland_ranger_xleavetheland_kara_ques_choose_dest_none	[Я пока не могу принять решение!]

// HASH_VALUE 8461061EBF3E8917
// INDEX 5531
newbieland_ranger_xleavetheland_miss_desc	[Выясните, как вам попасть в столицу.]

// HASH_VALUE 422D97FAB6FEAD06
// INDEX 5532
newbieland_ranger_xleavetheland_mis_title	[Отправляйтесь в столицу]

// HASH_VALUE E6D7E477D86D5871
// INDEX 5533
newbieland_ranger_xleavetheland_obj_kami	[$kami$, которого можно найти к северу отсюда, подскажет вам, как покинуть это место]

// HASH_VALUE 59756C92A253D387
// INDEX 5534
newbieland_ranger_xleavetheland_obj_kara	[$karavan$, которого можно найти к югу отсюда, подскажет вам, как покинуть это место]

// HASH_VALUE 7522A49191BCFAB4
// INDEX 5535
newbieland_ranger_xleavetheland_popup_choose_dest_warning	[@{W350}Будьте внимательнее, вам предстоит принять важное решение!\n
	\n
	Покинув развалины Силана, вы переместитесь в одну из четырех столиц, расположенных на материке. Где именно вы окажетесь - не так важно, но торговцы и другие гражданские лица, как правило, менее дружелюбны к хоминам другой расы. Поэтому расти и развиваться в землях, принадлежащих другому народу, может быть сложнее.\n
	Ремесленникам стоит принять во внимание то, что наставники способны обучить только технологиям собственной расы. Для того, чтобы развиваться дальше им рано или поздно придется перемещаться на родину.\n
	\n
	Если вы играете в игру один, рекомендуем отправиться в город, принадлежащий вашему народу (он - первый в списке). Однако, города расположены далеко друг от друга, а путешествие очень опасно, поэтому, если вы играете вместе с друзьями, не забудьте узнать, в какой город собираются переместиться они.]

// HASH_VALUE 5F54D87D5C64F483
// INDEX 5536
newbieland_ranger_xleavetheland_popup_title_choose_dest_warning	[ВАЖНО]

// HASH_VALUE 3DDC8D12B13D871F
// INDEX 5537
newbieland_ranger_xleavetheland_p_auto_menu	[Я хочу покинуть эти земли]

// HASH_VALUE A6BE45D2AC63FD94
// INDEX 5538
newbieland_ranger_xleavetheland_p_popup_trial	[@{W300}Ваша БЕСПЛАТНАЯ ПРОБНАЯ учетная запись не позволяет вам продвинуться дальше по просторам Атиса и разгадать оставшиеся тайны Ризома. Для того, чтобы продолжить приключения, посетите раздел "Регистрация > Управление учетной записью" на сайте @{F90F}www.ryzom.com@{FFFF} и выберите другой метод подписки. До скорой встречи.]

// HASH_VALUE C46B12DD86CEFC11
// INDEX 5539
newbieland_ranger_xleavetheland_p_trial_title	[Бесплатная учетная запись]

// HASH_VALUE 3DDC8D12B13D871F
// INDEX 5540
newbieland_ranger_xleavetheland_t2_kami	[Я хочу покинуть эти земли]

// HASH_VALUE F88B8E0FBF4B5E19
// INDEX 5541
newbieland_slaughter_week_info_auto_menu	[Что происходит?]

// HASH_VALUE B9CD98A4C6143AEF
// INDEX 5542
newbieland_slaughter_week_info_intro	[Китины!\n
	Сотни китинов!\n
	Нет, тысячи китинов!\n
	Наши территории захвачены. Докладывают, что легионы китинов собираются в пустыне файросов, джунглях Зораи, лесах матисов и даже вокруг озер трайкеров.\n
	Нам неизвестно, почему такое множество китинов внезапно восстало из глубин Атиса; ясно одно - придется принять бой!\n
	Для того, чтобы помочь лучшим из наших воинов выиграть эту войну, нам нужны хорошо подготовленные, молодые хомины.\n
	Я рассчитываю на тебя $self$, возвращайся в родные места как можно быстрее!  ]

// HASH_VALUE 0000000000000000
// INDEX 5543
newbieland_slaughter_week_info_p_mis_desc	[]

// HASH_VALUE 0000000000000000
// INDEX 5544
newbieland_slaughter_week_info_p_mis_title	[]

// HASH_VALUE FA1AA8D5CB8CA310
// INDEX 5545
newbieland_slaughter_week_shout_auto_menu	[Можешь не кричать?]

// HASH_VALUE 0000000000000000
// INDEX 5546
newbieland_slaughter_week_shout_p_mis_desc	[]

// HASH_VALUE 0000000000000000
// INDEX 5547
newbieland_slaughter_week_shout_p_mis_title	[]

// HASH_VALUE C0DD7EE6842C76E7
// INDEX 5548
newbieland_start_mis_desc	[Миссия перерождения.]

// HASH_VALUE BC4EA1FDC1DD6E0E
// INDEX 5549
newbieland_start_mis_title	[Миссия перерождения]

// HASH_VALUE 200FED8819F35FA2
// INDEX 5550
newb_kami_adept_1	[Ты хочешь отправиться в $capitale$, столицу своего народа? Могущественная магия Ками может переместить тебя туда. Для этого, найди $target$ неподалеку отсюда. Воспользуйся компасом, чтобы не заблудиться.]

// HASH_VALUE AF8BE0EE33EC6EFD
// INDEX 5551
newb_kami_adept_automenu	[Как мне попасть на материк?]

// HASH_VALUE 5EE38D6C09EFBD0F
// INDEX 5552
newb_kami_adept_desc	[Найдите Проповедника Ками, используя компас.]

// HASH_VALUE 827BB965C06AE327
// INDEX 5553
newb_kami_adept_system_msg_1	[Вы можете найти раздел о $target$ в меню заданий вашего компаса.]

// HASH_VALUE 3E1C95F177CD99E2
// INDEX 5554
newb_kami_adept_title	[Найдите проповедника Ками]

// HASH_VALUE AC81DFD6797E2C06
// INDEX 5555
newb_karavan_guide_1	[Итак, хомин, ты хочешь отправиться в $capitale$, столицу своего народа? Благодаря могуществу, дарованному Дженой, Караван может переместить тебя туда. Для того, чтобы это сделать, найди $target$ недалеко отсюда. Воспользуйся компасом, чтобы не заблудиться.]

// HASH_VALUE AF8BE0EE33EC6EFD
// INDEX 5556
newb_karavan_guide_automenu	[Как мне попасть на материк?]

// HASH_VALUE A2F209481C24557A
// INDEX 5557
newb_karavan_guide_desc	[Найдите телепортатор Каравана, используя компас.]

// HASH_VALUE 827BB965C06AE327
// INDEX 5558
newb_karavan_guide_system_msg_1	[Вы можете найти раздел о $target$ в меню заданий вашего компаса.]

// HASH_VALUE C12CE5DFFC5D5DDF
// INDEX 5559
newb_karavan_guide_title	[Найдите телепортатор Каравана]

// HASH_VALUE 802D01DB80DC0402
// INDEX 5560
newb_team_fight_automenu	[Групповое задание]

// HASH_VALUE 26D243524EB9C6CA
// INDEX 5561
newb_team_fight_desc	[Ваша команда должна найти и убить несколько $kipee.creagen$, чтобы защитить округу от угрозы вторжения $kitin.pracegen$.]

// HASH_VALUE A6C837CBE960D843
// INDEX 5562
newb_team_fight_end_1_m	[Ты хорошо справился с задачей! $people$ гордятся тобой. Эта победа повысила твою репутацию!]

// HASH_VALUE 454C0ED0A274DA9E
// INDEX 5563
newb_team_fight_end_1_f	[Ты хорошо справилась с задачей! $people$ гордятся тобой. Эта победа повысила твою репутацию!]

// HASH_VALUE 4737BE1AA35C7709
// INDEX 5564
newb_team_fight_end_2	[Репутация очень важна для хоминов. Если репутация высока - многие будут рады вам довериться. Но если репутация низкая, к вам будут относиться как к нежелательной персоне или, и того хуже, как к врагу. Еще раз - поздравления с победой!]

// HASH_VALUE D8D7624967D13FEB
// INDEX 5565
newb_team_fight_step_1_1	[Похоже, что нас обнаружили $kipee.p$, относящиеся к семейству $kitin.pracegen$. Нужно действовать незамедлительно!]

// HASH_VALUE D2844E0293CF2870
// INDEX 5566
newb_team_fight_step_1_2	[$kipee.p$ не кажутся агрессивными, но не следует забывать, что они делали с нашими предками. Это - чрезвычайно опасные хищники, стремящиеся полностью истребить хоминов.]

// HASH_VALUE E40F2F2F1AF3A219
// INDEX 5567
newb_team_fight_step_1_3	[Ваша группа должна обнаружить и убить двух из них. Предупреждаю тебя, это опасные хищники, готовься к битве как следует. Удачи!]

// HASH_VALUE 042E8DC73C4E11FC
// INDEX 5568
newb_team_fight_title	[Встреча с врагом всех хоминов]

// HASH_VALUE A5D5966449DED488
// INDEX 5569
new_compass	[&SYS&К вашему компасу добавлена новая пометка.]

// HASH_VALUE 51614A810FA16D02
// INDEX 5570
no_action_when_sitting	[&CHK&Вы не можете совершать действия сидя.]

// HASH_VALUE 6D2626F66D37C895
// INDEX 5571
no_action_while_intangible	[&CHK&Вы не можете совершать действия когда вы обездвижены.]

// HASH_VALUE A88702D034F7ED93
// INDEX 5572
no_action_while_mounted	[&CHK&Вы не можете совершать действия, когда едете верхом.]

// HASH_VALUE C8BAC65080EA19B6
// INDEX 5573
no_action_while_swimming	[&CHK&Вы не можете совершать действия, находясь поблизости от воды.]

// HASH_VALUE FBF5D9C9A48385E5
// INDEX 5574
no_action_while_transaction	[&CHK&Вы не можете совершать действия во время разговора или одновременно с совершением сделки.]

// HASH_VALUE 0F97C63620A14EFB
// INDEX 5575
npe_fight_doh	[Ступай. Без сомнения, все зашло слишком далеко, но Карван или Ками сумеют воскресить тебя... Надеюсь.]

// HASH_VALUE 72ABAACA405B59E4
// INDEX 5576
npe_fight_engage_01	[Довольно разговоров, к бою.]

// HASH_VALUE C75EA736823BCD0B
// INDEX 5577
npe_fight_engage_02	[Ну... если ты и правда этого хочешь...]

// HASH_VALUE 04AE95CF6B3AC4F6
// INDEX 5578
npe_fight_engage_03	[Аахх... Я тут немного задремал!]

// HASH_VALUE 33DC41EBF2CC29F2
// INDEX 5579
npe_fight_engage_04	[А в прошлый раз тебе мало было?]

// HASH_VALUE AFCA58C03069B0A2
// INDEX 5580
npe_fight_i_lose_01	[Аааа...]

// HASH_VALUE 12B04FE3704BBA30
// INDEX 5581
npe_fight_i_lose_02	[Фффух... Хорошо, хорошо, твоя взяла.]

// HASH_VALUE 31D9A2E966B26883
// INDEX 5582
npe_fight_i_lose_03_m	[Эй! Ты чуть не прикончил меня! Прекрати, это слишком опасно.]

// HASH_VALUE 3459B4CB2DB4BBF9
// INDEX 5583
npe_fight_i_lose_03_f	[Эй! Ты чуть не прикончила меня! Прекрати, это слишком опасно.]

// HASH_VALUE D4DEC6FC70FEF937
// INDEX 5584
npe_fight_i_lose_04	[Ну-ну... уже достаточно. С меня хватит.]

// HASH_VALUE B942486BC84E610B
// INDEX 5585
npe_fight_i_win_01_m	[Вот видишь! Я лучший - а ты еще сомневался!]

// HASH_VALUE 0174105AC84E610B
// INDEX 5586
npe_fight_i_win_01_f	[Вот видишь! Я лучший - а ты еще сомневалась!]

// HASH_VALUE 5C0396BA178B6454
// INDEX 5587
npe_fight_i_win_02	[У меня складывается впечатление, что с каждым поединком ты дерешься все хуже и хуже.]

// HASH_VALUE FF5C9D4A82786F24
// INDEX 5588
npe_fight_i_win_03	[Ага! Неплохо... в этот раз мне и правда показалось, что я могу проиграть.]

// HASH_VALUE 3C4C1A04B9ED9CE7
// INDEX 5589
npe_fight_i_win_04	[*играет мускулами* Следующий!]

// HASH_VALUE CBCDABBF913D6E55
// INDEX 5590
npe_fight_start_01	[Сегодня я в прекрасной форме! Я думаю, мог бы справиться с Дай-Деном один на один!]

// HASH_VALUE 7318C66B08C21D9F
// INDEX 5591
npe_fight_start_02	[Вставай! Я покажу тебе, чему меня научил Утэхес Исси.]

// HASH_VALUE F3E5E57BA6C1EA0A
// INDEX 5592
npe_fight_start_03	[*потягивается* Надоело сидеть... Подеремся для разминки?]

// HASH_VALUE 39ABF658842B17CA
// INDEX 5593
npe_fight_start_04_m	[К барьеру! Ты уже достаточно отдыхал; дерись, или я засну от скуки!]

// HASH_VALUE 8A384C5343C92AFA
// INDEX 5594
npe_fight_start_04_f	[К барьеру! Ты уже достаточно отдыхала; дерись, или я засну от скуки!]

// HASH_VALUE C2F50193679AD21C
// INDEX 5595
onclick_atdest_newb_fyros_kami	[Не бойся, мой юный друг... отправляйся к Ками и поговори с ним.]

// HASH_VALUE B0A545FC013915F8
// INDEX 5596
onclick_atdest_newb_kami	[Не бойся, мой юный друг, найди преподобного Ками и поговори с ним.]

// HASH_VALUE E8548F849D669491
// INDEX 5597
onclick_adtest_newb_kguard	[Нужно поговорить с офицером Каравана по телепортации.]

// HASH_VALUE C18D95CBBB495116
// INDEX 5598
onclic_followme_newb_kguard	[Следуй за мной к телепортатору.]

// HASH_VALUE A521AC7FCBDF753E
// INDEX 5599
onclick_newb_fyros_guard_m	[Будь осторожен, в джунглях немало опасностей!]

// HASH_VALUE A521AC7FCBDF4146
// INDEX 5600
onclick_newb_fyros_guard_f	[Будь осторожна, в джунглях немало опасностей!]

// HASH_VALUE A521AC7FCBDF753E
// INDEX 5601
onclick_newb_fyros_guard_1_m	[Будь осторожен, в джунглях немало опасностей!]

// HASH_VALUE A521AC7FCBDF4146
// INDEX 5602
onclick_newb_fyros_guard_1_f	[Будь осторожна, в джунглях немало опасностей!]

// HASH_VALUE 696E3F318352848B
// INDEX 5603
onclick_newb_fyros_guard_2	[Эй! Я слышал, что неподалеку обосновались Стражи Каравана! По слухам, они не менее могущественны, чем Ками. Разве такое возможно?]

// HASH_VALUE D00720F2FE75BA0A
// INDEX 5604
onclick_newb_fyros_guard_3	[Доводилось ли тебе раньше встречаться с Караваном? Они немного странные, но, говорят, иногда помогают.]

// HASH_VALUE C998771B9999B840
// INDEX 5605
onclick_newb_fyros_guard_4	[Берегись китинов; хоть мы и стараемся держать их в узде, какое-то количество всегда бродит в окрестностях.]

// HASH_VALUE 799C7E097E9D3D39
// INDEX 5606
onclick_newb_fyros_guard_5	[Успешно ли проходят твои занятия?]

// HASH_VALUE 799C7E097E9D3D39
// INDEX 5607
onclick_newb_fyros_instructor_3	[Успешно ли проходят твои занятия?]

// HASH_VALUE EF77B2CC2413D6C5
// INDEX 5608
onclick_newb_fyros_instructor_4	[Честно говоря, тебе давно пора улучшить свое снаряжение.]

// HASH_VALUE 78E88E75522508DC
// INDEX 5609
onclick_newb_fyros_instructor_5	[Изучайте новые действия и приемы, чтобы стать сильнее.]

// HASH_VALUE 8FAD1262AD8F720F
// INDEX 5610
onclick_newb_fyros_kamiteleport	[Ками могут отправить тебя в земли твоих сородичей... в Пылающую пустыню.]

// HASH_VALUE 2F86C3E4E095F6D9
// INDEX 5611
onclick_newb_fyros_merchant	[У меня есть пара вещей, которые могут тебя заинтересовать!]

// HASH_VALUE 13E2FA27346C7945
// INDEX 5612
onclick_newb_fyros_onclick_newb_fyros_kami	[Если ты хочешь попать в столицу Пылающей пустыни, я могу тебе в этом помочь.]

// HASH_VALUE E333C65DC0C1B11F
// INDEX 5613
onclick_newb_fyros_onclick_newb_fyros_kguard	[Если тебе нужен телепортатор, следуй за мной.]

// HASH_VALUE DEC0F2669A44835C
// INDEX 5614
onclick_newb_fyros_onclick_newb_fyros_kteleport	[Я могу переместить тебя в Имперские Дюны, хомин.]

// HASH_VALUE 43ADC2E97BA9A40A
// INDEX 5615
onclick_newb_matis_guard	[Осторожнее там!]

// HASH_VALUE 7C5EA2DC3CEEB6D7
// INDEX 5616
onclick_newb_matis_guard_1	[&BBL&Осторожнее там!]

// HASH_VALUE AB3F06C5981A2BF6
// INDEX 5617
onclick_newb_matis_guard_2	[Эй! Тебе доводилось встречать Стражей Каравана? Я слышал, как один из бойцов на заставе говорил, что они даже более опасны, чем воины файросы. Разве такое возможно?]

// HASH_VALUE C18442CBFDB34E28
// INDEX 5618
onclick_newb_matis_guard_3	[Ручаюсь, что тебе раньше не приходилось встречать последователей Каравана? Хорошо, что мы с ними в приличных отношениях; мне все время кажется, что они какие-то странные.]

// HASH_VALUE 5000C52BEAB0D3B3
// INDEX 5619
onclick_newb_matis_guard_4	[Берегись китинов... они до сих пор бродят вокруг, как мы ни стараемся их отгонять.>]

// HASH_VALUE B72C68F3C20E83C5
// INDEX 5620
onclick_newb_matis_guard_5	[Как успехи в тренировках?]

// HASH_VALUE 462D90A2C2DDE00A
// INDEX 5621
onclick_newb_matis_instructor_3	[Добро пожаловать, хомин.]

// HASH_VALUE 6D30B2599B447FA0
// INDEX 5622
onclick_newb_matis_instructor_4	[Тебе давно пора улучшить свое снаряжение. Иди к торговцу и купи себе чего-нибудь нового.]

// HASH_VALUE 986A8EBAB7073652
// INDEX 5623
onclick_newb_matis_instructor_5	[Изучайте новые действия и приемы - это расширит ваши возможности. Воспользуйтесь услугами наставника.]

// HASH_VALUE C6E06E5D527B7559
// INDEX 5624
onclick_newb_matis_merchant	[У меня есть несколько предметов, которые могут показаться тебе интересными!]

// HASH_VALUE E0BFB9ABD2BF2A5B
// INDEX 5625
onclick_newb_matis_onclick_newb_matis_kguard	[Если ты хочешь переместиться в столицу в Цветущих Высях, я могу тебе в этом помочь.]

// HASH_VALUE A3A182818BBF6676
// INDEX 5626
onclick_newb_matis_onclick_newb_matis_kteleport	[Я могу переместить тебя в Сад величия, хомин.]

// HASH_VALUE B82508AF2D850DBE
// INDEX 5627
onclick_newb_tryker_guard	[Будь осторожен, в джунглях полно всевозможных опасностей!]

// HASH_VALUE 8CA14E29B0CC50D7
// INDEX 5628
onclick_newb_tryker_guard_1_m	[Будь осторожен, джунгли небезопасны!]

// HASH_VALUE 8CA14E29B0CC1CDF
// INDEX 5629
onclick_newb_tryker_guard_1_f	[Будь осторожна, джунгли небезопасны!]

// HASH_VALUE 696E3F318352848B
// INDEX 5630
onclick_newb_tryker_guard_2	[Эй! Я слышал, что неподалеку обосновались Стражи Каравана! По слухам, они не менее могущественны, чем Ками. Разве такое возможно?]

// HASH_VALUE D00720F2FE75BA0A
// INDEX 5631
onclick_newb_tryker_guard_3	[Доводилось ли тебе раньше встречаться с Караваном? Они немного странные, но, говорят, иногда помогают.]

// HASH_VALUE 1E9A7D8730E6D6D0
// INDEX 5632
onclick_newb_tryker_guard_4_m	[Будь осторожен, если увидишь китинов... пусть мы и стараемся по возможности отогнать их подальше, несколько чудищ часто слоняются по округе.]

// HASH_VALUE 1E9A7D8730E6A2D8
// INDEX 5633
onclick_newb_tryker_guard_4_f	[Будь осторожна, если увидишь китинов... пусть мы и стараемся по возможности отогнать их подальше, несколько чудищ часто слоняются по округе.]

// HASH_VALUE F84C46C7BA4DBE01
// INDEX 5634
onclick_newb_tryker_guard_5	[Как продвигается твое обучение?]

// HASH_VALUE F84C46C7BA4DBE01
// INDEX 5635
onclick_newb_tryker_instructor_3	[Как продвигается твое обучение?]

// HASH_VALUE A381268517AF984F
// INDEX 5636
onclick_newb_tryker_instructor_4	[Тебе и правда пора заиметь снаряжение получше.]

// HASH_VALUE 4F21662A56A15116
// INDEX 5637
onclick_newb_tryker_instructor_5	[Изучай новые приемы, чтобы стать сильнее.]

// HASH_VALUE BD8D7314AB934321
// INDEX 5638
onclick_newb_tryker_merchant	[У меня есть несколько вещичек, которые могут тебе понравиться!]

// HASH_VALUE E1A043364B4D4347
// INDEX 5639
onclick_newb_tryker_onclick_newb_tryker_kguard	[Если ты хочешь переместиться в столицу в Эден Аквеос, я могу тебе в этом помочь.]

// HASH_VALUE DF91F64FD9B44271
// INDEX 5640
onclick_newb_tryker_onclick_newb_tryker_kteleport	[Я могу переместить тебя на Озеро Свободы, хомин.]

// HASH_VALUE D66E1F3639EE3C2A
// INDEX 5641
onclick_newb_zorai_guard_m	[Будь осторожен, в джунглях небезопасно!]

// HASH_VALUE D66E1F3639EE0832
// INDEX 5642
onclick_newb_zorai_guard_f	[Будь осторожна, в джунглях небезопасно!]

// HASH_VALUE D66E1F3639EE3C2A
// INDEX 5643
onclick_newb_zorai_guard_1_m	[Будь осторожен, в джунглях небезопасно!]

// HASH_VALUE D66E1F3639EE0832
// INDEX 5644
onclick_newb_zorai_guard_1_f	[Будь осторожна, в джунглях небезопасно!]

// HASH_VALUE 5AC1E42ECB6B2DA6
// INDEX 5645
onclick_newb_zorai_guard_2	[Я слышал, что поблизости можно встретить Стражей Ками. Говорят, что они самые могущественные существа на планете.]

// HASH_VALUE C41DB5EBC905DE39
// INDEX 5646
onclick_newb_zorai_guard_3	[Интересно, доводилось ли тебе когда-нибудь встречаться с Ками? Они - истинная душа Атиса, относись к ним с уважением и они помогут тебе.]

// HASH_VALUE 74D1CA82E4355A98
// INDEX 5647
onclick_newb_zorai_guard_4	[Берегись китинов - хотя мы и стараемся отпугнуть их, некоторые все равно бродят по округе.]

// HASH_VALUE F84C46C7BA4DBE01
// INDEX 5648
onclick_newb_zorai_guard_5	[Как продвигается твое обучение?]

// HASH_VALUE 6D96BEBC20862CA9
// INDEX 5649
onclick_newb_zorai_instructor_3	[Отправляйся к торговцам и обзаведись новым снаряжением.]

// HASH_VALUE E55E2A53917F2758
// INDEX 5650
onclick_newb_zorai_instructor_4	[Не забывайте улучшать свое снаряжение в соответствии с развитием своих навыков.]

// HASH_VALUE 6786826D21045178
// INDEX 5651
onclick_newb_zorai_instructor_5	[Изучайте новые действия, чтобы становиться сильнее.]

// HASH_VALUE FA2A4D0AB5B97EC5
// INDEX 5652
onclick_newb_zorai_kamiteleport	[Ками могут отправить тебя к твоим сородичам... в Землях Увядания.]

// HASH_VALUE 3CB892670BFC5EBE
// INDEX 5653
onclick_newb_zorai_kamiteleport_back	[Ты хочешь попасть обратно на остров? Ками в состоянии помочь тебе.]

// HASH_VALUE F2CCAEDFC0492F2D
// INDEX 5654
onclick_newb_zorai_merchant	[У меня есть несколько предметов, которые точно тебя заинтересуют!]

// HASH_VALUE DC115A988C4DA050
// INDEX 5655
onclick_newb_zorai_onclick_newb_zorai_kami	[Если ты хочешь переместиться в столицу в Земли Увядания, я могу тебе в этом помочь.]

// HASH_VALUE 8C1F877749715E3D
// INDEX 5656
onclick_newb_zorai_onclick_newb_zorai_kguard	[Если ты ищешь телепортатор, следуй за мной.]

// HASH_VALUE 1F493A366356B32B
// INDEX 5657
onclick_newb_zorai_onclick_newb_zorai_kteleport	[Я могу переместить тебя в Города Предвидения в Землях Увядания, хомин.]

// HASH_VALUE 84CD8D524C006228
// INDEX 5658
onclick_onroad_newb_fyros_kami	[Не волнуйся, хомин, скоро будем на месте!]

// HASH_VALUE 0F9FB23D061F2141
// INDEX 5659
onclick_onroad_newb_kami	[Прояви терпение, мы скоро будем на месте.]

// HASH_VALUE 8540C9233CEDA339
// INDEX 5660
onclick_onroad_newb_kgurd	[Нам потребуется мастер перемещений...]

// HASH_VALUE 2156BE95A3E0E05B
// INDEX 5661
onclic_adtest_newb_kguard	[Вам нужно поговорить с мастеом перемещений Каравана.]

// HASH_VALUE A75306585062968F
// INDEX 5662
onclic_onroad_newb_kguard	[Мы должны встретиться с мастером перемещений...]

// HASH_VALUE 5214623E2C5599DE
// INDEX 5663
one_faber_plan_allowed_per_sentence	[&CHK&В действии по изготовлению предмета может использоваться только один ремесленный чертеж (обязательная станза)! Действие прервано!]

// HASH_VALUE 53A18EE67BDE8248
// INDEX 5664
onfollow_newb_fyros_onclick_newb_fyros_kami	[Пойдем. Готовься к интригующей встрече.]

// HASH_VALUE B8ED25E6B8F9F8B4
// INDEX 5665
onfollow_newb_fyros_onclick_newb_fyros_kguard	[Вперед!]

// HASH_VALUE B8F98C7DEE2CF909
// INDEX 5666
onfollow_newb_matis_onclick_newb_matis_kguard	[Вперед!!!]

// HASH_VALUE B8ED25E6B8F9F8B4
// INDEX 5667
onfollow_newb_tryker_onclick_newb_tryker_kguard	[Вперед!]

// HASH_VALUE EA93C5404FE1AE89
// INDEX 5668
onfollow_newb_zorai_onclick_newb_zorai_kami	[Следуй за мной, готовься к удивительной встрече.]

// HASH_VALUE B8ED25E6B8F9F8B4
// INDEX 5669
onfollow_newb_zorai_onclick_newb_zorai_kguard	[Вперед!]

// HASH_VALUE 9F9A453740C91E67
// INDEX 5670
only_one_root_faber	[&CHK&В действии по изготовлению предмета может использоваться только одна корневая станза, действие прервано!]

// HASH_VALUE 02871DD22AAB50FC
// INDEX 5671
phrase_buy	[&ITM&Вы только что изучили "$s$", истратив $cost$ очков навыка.]

// HASH_VALUE FF2702029BD5C371
// INDEX 5672
phrase_buy_1	[&ITM&Вы только что изучили "$s$", истратив одно очко навыка.]

// HASH_VALUE 71F93B1E499B3FAC
// INDEX 5673
phrase_buy_combat	[&ITM&Вы изучили боевой прием "$s$", истратив $cost$ очков навыка.]

// HASH_VALUE BEFB52C171E40DA6
// INDEX 5674
phrase_buy_combat_1	[&ITM&Вы изучили боевой прием "$s$", истратив одно очко навыка.]

// HASH_VALUE 075C2205320F1753
// INDEX 5675
phrase_buy_faber	[&ITM&Вы изучили ремесленный чертеж "$s$", истратив $cost$ очков навыка.]

// HASH_VALUE 04FC0735A3398AC8
// INDEX 5676
phrase_buy_faber_1	[&ITM&Вы изучили ремесленный чертеж "$s$", истратив одно очко навыка.]

// HASH_VALUE 8029BDBAA03B2BFB
// INDEX 5677
phrase_buy_magic	[&ITM&Вы изучили заклинание "$s$", истратив $cost$ очков навыка.]

// HASH_VALUE 7DC9A2EA11659E70
// INDEX 5678
phrase_buy_magic_1	[&ITM&Вы изучили заклинание "$s$", истратив одно очко навыка.]

// HASH_VALUE BC27C34F241B9A9B
// INDEX 5679
phrase_characteristic_buy	[&ITM&Вы повысили характеристику $c$ до $value$, истратив $cost$ очков навыка.]

// HASH_VALUE C1B12B984670DC69
// INDEX 5680
phrase_missing_credit	[&CHKCB&Недостаточно противодействий для того, чтобы осуществить это действие.]

// HASH_VALUE D61ED80ECA495DE4
// INDEX 5681
phrase_not_enough_focus	[&CHKCB&Недостаточно внимания для того, чтобы осуществить это действие.]

// HASH_VALUE 887EEDB008FB5523
// INDEX 5682
phrase_use_predef	[&SPLM&Вы использовали $s$.]

// HASH_VALUE 519A563E87EB0926
// INDEX 5683
plan_faber_not_second	[&CHK&Станзы ремесленных чертежей должны находиться во второй части действия! Пожалуйста, сообщите нам об этой ошибке, в точности указав действие, которое вы использовали. Спасибо!]

// HASH_VALUE 4930B34ACC0DE108
// INDEX 5684
power_aura_activate	[&SPLM&Вы приводите в действие силу "$p$".]

// HASH_VALUE 44E15125C651512C
// INDEX 5685
power_aura_activate_spectators	[&SYS&$e$ приводит в действие силу "$p$".]

// HASH_VALUE ABBEA836123D93C2
// INDEX 5686
power_balance_actor	[&SPLM&Вы приводите в действие силу "$p$" и максимальное количество $s.points$ у всех членов группы, на которых она повлияла, становится равным $newVal$%.]

// HASH_VALUE 6060A327A860B33F
// INDEX 5687
power_balance_no_team	[&CHK&Для того, чтобы привести в действие силу равновесия, вы должны быть в группе.]

// HASH_VALUE A208DB30379CD9D7
// INDEX 5688
power_balance_others	[&SYS&$e$ приводит в действие силу "$p$" и теперь количество ваших $s.points$ равно $newVal$%.]

// HASH_VALUE BF81ABE2687DCBA9
// INDEX 5689
power_still_disabled_ms	[&CHKCB&Сила "$p$" будет снова доступна через $m$ минут и $s$ секунд.]

// HASH_VALUE 2B870777C88AA689
// INDEX 5690
power_still_disabled_m	[&CHKCB&Сила "$p$" будет снова доступна через $m$ минут.]

// HASH_VALUE 6A571C7753CC9189
// INDEX 5691
power_still_disabled_s	[&CHKCB&Сила "$p$" будет снова доступна через $s$ секунд.]

// HASH_VALUE 0653E6090891213B
// INDEX 5692
power_effect_ends	[&SPLM&Действие силы "$p$" заканчивается.]

// HASH_VALUE C4909E90CB8B8932
// INDEX 5693
power_taunt	[&SPLM&$e$: вызов принят.]

// HASH_VALUE F34B5AC18BDDDA34
// INDEX 5694
power_taunt_failed	[&MISM&$e$: вызов не принят.]

// HASH_VALUE 58D0BE7C849CA854
// INDEX 5695
power_taunt_level_too_high_m	[&CHKCB&Сила $e$ слишком велика, чтобы он обратил внимание на вызов, брошенный вами.]

