// HASH_VALUE 7C0DD08E0B74B048
// INDEX 0
abandon_mission	[&TSK&Vous avez abandonné une mission.]
	\n
	Vous pouvez, si vous le désirez, ajouter d'autres Options à votre Action en suivant le même processus : via l'icône @{F90F}Ajouter Option@{FFFF}. Une fois que vous aurez terminé le paramétrage de vos Options, vous devrez équilibrer votre Action pour qu'elle puisse fonctionner en ajoutant des @{0F0F}Crédits@{FFFF} via l'icône @{F90F}Ajouter Crédit@{FFFF}.\n
	\n
	Comme vous pouvez le voir, les @{FF0F}Briques Options@{FFFF} apportent des @{FF0F}Points d'Option@{FFFF} (en @{FF0F}jaune@{FFFF}) et les @{0F0F}Briques Crédits@{FFFF} apportent des @{0F0F}Points de Crédit@{FFFF} (en @{0F0F}vert@{FFFF}). Pour que l'Action puisse fonctionner, le total de @{0F0F}Points de Crédits@{FFFF} doit être supérieur ou égal au total de @{FF0F}Points d'Option@{FFFF}.\n
	\n
	Les Briques de Crédit ont bien entendu un effet pénalisant : dans notre cas, la Brique Contrepartie vous fera consommer des points de Concentration. Plus elle est de haut niveau, plus elle vous apporte de points de Crédit, et plus elle est gourmande en Concentration.\n
	\n
	Une fois votre Action équilibrée, vous pouvez la valider en cliquant sur @{F90F}Apprendre l'Action@{FFFF}.]

// HASH_VALUE 47E2D69C2956AFBA
// INDEX 4640
mission_tryker_03_popup_title_create_action_forage	[Créer ses propres actions]

// HASH_VALUE 9B5292744F913A19
// INDEX 4641
mission_tryker_03_p_ldcc_brick_known	[Parfait ! Maintenant tu sais extraire et prospecter des matières premières. Au-delà de ça, un bon récolteur doit être capable de développer ses propres techniques d'extraction et de prospection. Et ça tu vas vite t'en rendre compte, c'est essentiel. Sers toi de toutes les techniques de prospection que tu as apprises pour créer ta technique à toi.{break}Il faut qu'avec cette technique tu puisses trouver des matières de qualité fine, car ton prochain objectif sera de me ramener quoi ? Des matières premières de qualité fine... quelle perspicacité ! Il va falloir que tu me trouves $mp_sarina_seed.pia$ $mp_sarina_seed.p$ et $mp_hash_amber.pia$ $mp_hash_amber.p$. Tu trouveras tout ça à quelques centaines de mètres au nord-est du campement, aide toi de ta boussole et ça devrait aller. Bon, j'en ai déjà trop dit, à toi maintenant de te dépatouiller ! Au boulot !]

// HASH_VALUE 9DF4F582D172CA49
// INDEX 4642
mission_tryker_03_p_ldcc_brick_unknown	[Je ne crois pas. Retourne voir ton entraîneur et arrête de te payer ma tête.]

// HASH_VALUE 9C8E19117298C3A1
// INDEX 4643
mission_tryker_03_p_ldcc_debrief	[Je constate que mon disciple est plutôt du genre dégourdi, ça fait plaisir à voir. Tu apprends vite, c'est bien. Alors continuons, ne nous arrêtons pas en si bon chemin. Pour ta prochaine leçon, il va falloir que tu fasses l'acquisition de la technique de Recherche de Gisement à 50 Mètres, à moins que tu ne l'ais déjà. Reviens me voir dés que tu l'as.]

// HASH_VALUE 7A56A43C47213AD7
// INDEX 4644
mission_tryker_03_p_t2_intro	[J'ai acquis la technique que vous m'avez demandée]

// HASH_VALUE 477720E6A3CBF253
// INDEX 4645
mission_tryker_03_p_t2_ovl_intro	[Vous devez acquérir la technique : Prospection de Matières Fines Uniquement, et ensuite, retourner voir $givervar$]

// HASH_VALUE 2C6B0357992540BF
// INDEX 4646
mission_tryker_03_p_t2_ovl_return	[Retournez voir $givervar$]

// HASH_VALUE 6E6478FC4569D41D
// INDEX 4647
mission_tryker_03_p_t2_return	[Mission accomplie, j'ai tout trouvé]

// HASH_VALUE C5E55B746E7D75AD
// INDEX 4648
mission_tryker_04_mis_desc	[Apprendre à localiser un gisement de matières premières.]

// HASH_VALUE B4C9E73918428C6D
// INDEX 4649
mission_tryker_04_mis_title	[L'art de la récolte #4]

// HASH_VALUE 93D7A76FDD17485B
// INDEX 4650
mission_tryker_04_popup_find_spot	[@{W400}La technique @{F90F}Recherche de Gisement à 50 Mètres@{FFFF} vous permet de localiser une source de matières premières dans un rayon de 50 mètres.\n
	\n
	Lancez cette action une première fois afin de mettre en route votre scanner. Un chiffre apparaît alors vous indiquant la distance vous séparant de la source la plus proche. La direction n'est pas indiquée, mais en vous déplaçant, vous verrez très vite si vous vous éloignez ou si vous vous rapprochez de la source. Pour stopper le scanner, il vous suffit de relancer votre action une seconde fois.\n
	\n
	Une action de @{F90F}Recherche de Gisement@{FFFF}, comme une action de @{F90F}Prospection@{FFFF}, peut se voir attribuer différentes options. Pour ce faire, vous devez l'éditer comme vous l'avez déjà fait pour votre action de Prospection. Vous pouvez, par exemple, greffer l'option de @{F90F}Recherche de Matières Fines@{FFFF} à votre action de Recherche de Gisement. L'action ainsi créée ne localisera alors que les sources de matières fines.]

// HASH_VALUE 56D5E89898F84864
// INDEX 4651
mission_tryker_04_popup_title_find_spot	[La recherche de gisements]

// HASH_VALUE BF7117304850C257
// INDEX 4652
mission_tryker_04_p_ldcc_brick_known	[C'est bien, avec ça tu vas vraiment pouvoir devenir autonome. Comme je te l'ai dit, des matières premières, on n'en trouve pas partout, à plus forte raison si tu recherches une matière bien spécifique. Je vais te poser un cas d'école : imagine que tu es sur une île ENORME et que quelque part sur cette île se trouve un gisement tout petit, minuscule, ridicule, et manque de chance, tu n'as pas la moindre idée de l'endroit où il se trouve. Comment fais-tu ?{break}La première méthode, appelée aussi méthode du Fyros, consiste à jeter ta pioche à terre en hurlant, puis à massacrer un malheureux Yubo qui passait par là afin d'apaiser ta rage. L'efficacité de cette méthode est très discutable.{break}La deuxième méthode, mieux connue sous le nom de méthode du Homin qui avait égaré son cerveau, consiste à quadriller l'île en prospectant tous les deux mètres. C'est une méthode comme une autre qui, je l'avoue, peut porter ses fruits. Mais il faut être très patient et très motivé.{break}La troisième méthode, ou méthode du Homin qui avait enfin retrouvé son cerveau, consiste à utiliser la technique que tu viens d'acquérir : la Recherche de Gisement ! Simple, rapide et efficace.{break}La Recherche de Gisement n'a rien à voir avec la Prospection, cette technique ne te permet pas de faire émerger des sources de matières premières du sol. Elle te permet juste de localiser un gisement.{break}Il est temps de te mettre à l'epreuve. Près du campement, à moins d'une centaine de mètres des barrières, se trouve un gisement de $mp_zun_amber$. Ce gisement n'est pas très gros, mais avec ta nouvelle technique, tu ne devrais pas avoir de mal à le trouver. Je te demanderai donc de me ramener un échantillon de $mp_zun_amber$. Va et bon courage !]

// HASH_VALUE D905908A73A26EBB
// INDEX 4653
mission_tryker_04_p_ldcc_brick_unknown	[Au cas où tu ne l'aurais pas remarqué, je ne suis pas aveugle. Et ce que je vois, c'est que tu n'as pas ce que je t'ai demandé. Tu sais ce qu'il te reste à faire.]

// HASH_VALUE 6AE62E0BE8BA38DE
// INDEX 4654
mission_tryker_04_p_ldcc_debrief	[Bien ! J'avais un peu peur que tu en viennes à la méthode Fyros. Mais je constate que tu te débrouilles vraiment bien. Vu tes progrès, on va pouvoir augmenter la difficulté de tes missions et partir à la recherche de matières plus intéressantes.]

// HASH_VALUE DDEFFEEBD1554A40
// INDEX 4655
mission_tryker_04_p_t2_intro	[J'ai la compétence Recherche de Gisement à 50 Mètres, on peut continuer]

// HASH_VALUE 2B330BF1203ADF7C
// INDEX 4656
mission_tryker_04_p_t2_ovl_intro	[Procurez vous la compétence Recherche de Gisement à 50m auprès d'un entraîneur si vous ne l'avez pas déjà et retournez voir $givervar$]

// HASH_VALUE BC15B6B2F5E6AA20
// INDEX 4657
mission_tryker_05_gf_mis_desc	[Partez à la recherche de meilleures matières premières, utilisez $nocive$, mais attention aux dangers !]

// HASH_VALUE B0C5A37591C3B98A
// INDEX 4658
mission_tryker_05_mis_desc	[Partez à la recherche de meilleures matières premières, mais attention aux dangers !]

// HASH_VALUE 9991D68AE3A5DFF0
// INDEX 4659
mission_tryker_05_mis_title	[Les ruines dévastées #1]

// HASH_VALUE 93AE2A3ECE663B7F
// INDEX 4660
mission_tryker_05_popup_extract_action	[@{W500}Vous pouvez éditer et modifier une action d'Extraction de la même manière qu'une action de Prospection. L'action d'extraction a cependant une particularité. Elle nécessite @{F90F}trois effets@{FFFF} sans lesquels elle ne peut pas fonctionner : l'effet @{F90F}Vitesse@{FFFF}, l'effet @{F90F}Quantité@{FFFF} et l'effet @{F90F}Qualité@{FFFF}.\n
	\n
	L'effet @{F90F}Vitesse@{FFFF} détermine la rapidité d'exécution de l'action. Plus la Vitesse d'extraction est élevée et plus vous pourrez extraire de matières sur une même source, dans le temps qui vous est imparti.\n
	\n
	L'effet @{F90F}Quantité@{FFFF} détermine la quantité de matières premières que vous prélevez à chaque coup de pioche. Comme pour la Vitesse, plus la Quantité d'extraction est élevée et plus vous pourrez prélever de matières premières sur une même source, dans le temps qui vous est imparti.\n
	\n
	L'effet @{F90F}Qualité@{FFFF} détermine la qualité maximum des matières premières que vous allez pouvoir prélever. Mais notez bien qu'une source de matières premières a sa propre limite de qualité qui ne pourra pas être dépassée quelle que soit le niveau de votre action d'Extraction. Généralement, la qualité maximum d'une source dépend de la région dans laquelle elle se trouve.\n
	\n
	Chacun de ces trois effets existe sous deux formes : @{F90F}Douce@{FFFF} et @{F90F}Nocive@{FFFF}. A même niveau, un effet Nocif sera moins coûteux qu'un effet Doux en terme de points d'action, mais endommagera la source plus vite.]

// HASH_VALUE F0BBAC7B6DDA5B9A
// INDEX 4661
mission_tryker_05_popup_title_extract_action	[Les actions d'extraction]

// HASH_VALUE 0864B36F066113E9
// INDEX 4662
mission_tryker_05_p_ldcc_intro	[Tu vas maintenant pouvoir explorer une nouvelle région : $lieu_shattered_ruins$. Tu pourras trouver tout autour des ruines de l'ancienne cité de Silan de nombreuses sources de matières premières de meilleure qualité que celles que tu as pu extraire jusqu'à présent. Le tout n'étant pas de les trouver, il faut aussi pouvoir les extraire. Si tu n'as pas de quoi le faire, passe voir l'entraîneur, il t'enseignera la technique adéquate.{break}Ah, j'ai failli oublier un petit détail, rien de bien dramatique, mais il vaut mieux que je te tienne au courant. Il y a dans cette région quelques bestioles dont la convivialité laisse à désirer : des Javings et des Gingos. Si tu t'en approches trop près, elles n'hésiteront pas à t'attaquer. Alors à moins que tu ai de bons gros biscotos et de quoi fendre des crânes, je te conseille d'être très vigilant et d'apprendre à zigzaguer entre les coins dangereux. Autre possibilité : tu te trouves une escorte de gros bras pour te protéger.{break}Voila, tout est dit. Tu n'as plus qu'à filer là bas et me trouver des ressources de qualité qui feront baver tes petits camarades récolteurs. Tu trouveras tout ce qu'il faut à l'interieur même des ruines de la cité de Silan.]

// HASH_VALUE 081A78BFDE566011
// INDEX 4663
mission_tryker_05_p_ldcc_return	[Beau travail. Je te laisse ton butin, fais-en ce que tu veux.]

// HASH_VALUE DEA0FDB78D67C4A7
// INDEX 4664
mission_tryker_05_p_sys_msg	[Procurez-vous une action d'extraction de niveau 20]

// HASH_VALUE 2C6B0357992540BF
// INDEX 4665
mission_tryker_05_p_t2_ovl_return	[Retournez voir $givervar$]

// HASH_VALUE C4E5BB063C5E320F
// INDEX 4666
mission_tryker_05_p_t2_return	[Je ramène les matières premières que vous m'aviez commandées]

// HASH_VALUE AAFFAEC37DBF9200
// INDEX 4667
mission_tryker_06_mis_desc	[Lancez-vous dans une chasse au trésor en explorant des ruines.]

// HASH_VALUE 9991D68AE3B5DFF0
// INDEX 4668
mission_tryker_06_mis_title	[Les ruines dévastées #2]

// HASH_VALUE 89B11AB3D9F90694
// INDEX 4669
mission_tryker_06_p_ldcc_debrief	[Quel objet magnifique ! Je dois reconnaître que les Matis ont de réelles compétences en artisanat. Cela mérite une belle récompense. Prends ceci.]

// HASH_VALUE F7AF6889D08754A2
// INDEX 4670
mission_tryker_06_p_ldcc_intro	[T'ai-je déjà parlé du funeste destin de la cité de Silan ? Non, et bien il est grand temps. Il y a bien longtemps, alors que les réfugiés Homins émergeaient des Primes Racines... en fait, tu ne sais peut-être pas pourquoi les Homins ont émergé des Primes Racines, ni pourquoi ils y sont allés ?!{break}Alors reprenons depuis le début. Il y a très très longtemps, les Homins vivaient heureux quand les Fyros, gros costauds à petit cerveaux eurent la merveilleuse idée d'aller tripatouiller les entrailles d'Atys. A vrai dire, je ne sais pas bien ce qu'ils cherchaient, mais je sais ce qu'ils ont trouvé : le pire fléau que nous ayons connu, les Kitins. Ces derniers, créatures passablement sanguinaires, n'étaient pas vraiment décidés à faire des Homins leurs amis. Des hordes de Kitins ont alors surgies des profondeurs d'Atys, empruntant la brèche ouverte par les Fyros.{break}C'est là que tout est devenu moins drôle. Les Homins se sont fait traquer et massacrer par les Kitins, sans répit. Les survivants ont fuit dans les Primes Racines où ils se sont cachés. Nombre d'entre eux ont continué à périr. Les Homins ont survécus comme ils ont pu des années durant jusqu'au jour ou ils découvrirent de nouvelles terres, loin de celles que nous avions fuies. La première terre sur laquelle ils émergèrent est cette île.{break}Depuis, un flot continu de réfugiés suit leurs pas. Les Matis en arrivant ici, se pressèrent de bâtir une nouvelle cité. Et comme il est dans leur nature de vouloir faire plus que les autres et plus vite, ils tentèrent d'instaurer un système qui leur apporterait des matières premières en masse, et ce, sans avoir à bouger le petit doigt. C'est là qu'ils eurent la brillante idée de transformer des plantes afin d'en faire des extracteurs naturels, brillante idée qui se retourna contre eux et qui renvoya leur cité à l'état de ruines.{break}Une bien tragique histoire, qui à vrai dire, me fait plus rire que pleurer. Les Matis sont fous, ils se croient supérieurs, plus intelligents que les autres. La plupart d'entre eux n'arrivent d'ailleurs toujours pas à admettre que leur expérience était une erreur. De plus, les Matis ont fait de mon peuple des esclaves dans le passé. Je ne leur ferai donc pas l'honneur de m'apitoyer sur le destin funeste de leur cité.{break}Pour eux c'est une tragédie, pour moi, c'est une aubaine, car ces ruines regorgent encore de trésors oubliés. Il est donc temps pour toi de t'essayer à la chasse au trésor, tu vas voir, il n'y a rien de plus excitant. Va fouiner du côté des ruines et voles-y tout ce que tu peux.]

// HASH_VALUE 270A4DBB56F5B621
// INDEX 4671
mission_tryker_06_p_ovl_give_diadem_1	[Rapportez le diadème à $givervar$]

// HASH_VALUE A2296040369E0A4D
// INDEX 4672
mission_tryker_06_p_ovl_loot_crate_1	[Fouillez les caisses des bandits jusqu'à trouver un objet intéressant.]

// HASH_VALUE 7A82A6D2F19B4CF9
// INDEX 4673
mission_tryker_06_p_visit_ruins	[Rendez-vous sur les ruines de la cité de Silan]

// HASH_VALUE C60B70A5A63AB08F
// INDEX 4674
mission_tryker_07_mis_desc	[Explorer la tour du Haut Syndic]

// HASH_VALUE 9991D68AE3C5DFF0
// INDEX 4675
mission_tryker_07_mis_title	[Les ruines dévastées #3]

// HASH_VALUE 85506BB68DEB68E6
// INDEX 4676
mission_tryker_07_p_ldcc_debrief	[Des dappers, plein de dappers ! On va pouvoir se remplir les poches de dappers. Quelle merveilleuse nouvelle ! Tu as fait du beau boulot. Merci à toi, merci à Jena et merci aux Matis pour tous ces beaux trésors qu'on va pouvoir récolter. Il n'y a rien de plus beau que le métier d'explorateur, et rien de plus rémunérateur non plus.]

// HASH_VALUE A44F1BFC9BA8FC47
// INDEX 4677
mission_tryker_07_p_ldcc_intro	[Fort bien, nous allons continuer à explorer les restes de Silan. Il y a encore tant de choses à chaparder à ces traîtres de Matis. Ne nous privons pas. Je voudrais cette fois que tu nous serves d'éclaireur. A l'époque où Silan ressemblait encore à quelque chose d'habitable, une grande tour dominait la ville : $lieu_tour.da$ $lieu_tour$. C'est là que les hautes autorités Matis rendaient leurs jugements. A vrai dire, je me fiche pas mal de savoir ce qu'ils pouvaient bien y faire, mais je me dis qu'un tel bâtiment devait abriter de bien beaux trésors, et ça, c'est très intéressant.{break}Qui dit trésors dit pillages en vue. Par contre, je ne sait pas trop ce qu'il reste de cette tour, avec un peu de chances, les fondations de base on tenu. Et si c'est le cas, tout n'a pas été enseveli. La tour, ou du moins ce qu'il en reste, se trouve au nord de la cité. Rends toi là-bas pour faire un état des lieux et reviens me faire ton rapport. Mais méfie toi, la région est dangereuse.]

// HASH_VALUE 35BA7E1BF6633266
// INDEX 4678
mission_tryker_07_p_ovl_visit_tour	[Rendez-vous dans la tour du Haut Syndic, au nord de Silan, afin de voir ce qu'il en reste]

// HASH_VALUE 0880C04819D85B1C
// INDEX 4679
mission_tryker_07_p_t2_ovl_return	[Retournez faire votre rapport à $givervar$]

// HASH_VALUE CF36596BDF5DA988
// INDEX 4680
mission_tryker_07_p_t2_return	[La salle principale de la tour est encore sur pieds]

// HASH_VALUE FAE36BA95E3BC294
// INDEX 4681
mission_tryker_08_mis_desc	[Récolter des matières particulières dans une zone dangereuse.]

// HASH_VALUE 7A469349DB673B5A
// INDEX 4682
mission_tryker_08_mis_title	[Le joyeux récolteur #1]

// HASH_VALUE B1E1D92F3C2E3E99
// INDEX 4683
mission_tryker_08_p_ldcc_debrief_m	[Non seulement tu as trouvé $mp_dead_leaf.pda$ $mp_dead_leaf.p$ mais en plus, tu reviens en un seul morceau. Honnêtement, je ne pensais pas que tu serais assez cinglé pour y aller. Je pense que Jena doit avoir un oeil sur toi.]

// HASH_VALUE 23DECE5F29BA9508
// INDEX 4684
mission_tryker_08_p_ldcc_debrief_f	[Non seulement tu as trouvé $mp_dead_leaf.pda$ $mp_dead_leaf.p$ mais en plus, tu reviens en un seul morceau. Honnêtement, je ne pensais pas que tu serais assez cinglée pour y aller. Je pense que Jena doit avoir un oeil sur toi.]

// HASH_VALUE 8775BC3C67C9B739
// INDEX 4685
mission_tryker_08_p_ldcc_intro	[Tu as largement fait tes preuves, et c'est une très bonne chose. Des explorateurs débutants motivés, j'en ai plus qu'il n'en faut sous la main, tellement que je ne sais plus trop quoi en faire. Le problème c'est que j'ai besoin de quelqu'un de compétent, en fait, ce n'est pas vraiment un problème puisque tu corresponds exactement au profil que je recherche.{break}Je t'ai déjà parlé de Silan et des travaux que les Matis ont réalisés sur des plantes. Il se trouve que nous aussi avons fait nos expériences sur des plantes que nous avons ramenées de loin. La différence avec les Matis, c'est que nous, nous avons eu la présence d'esprit de ne pas le faire au pied de nos maisons. Ces expériences, nous les avons menées sur un îlot isolé au nord-ouest d'ici.{break}Nous avons tout de même rencontré un problème : notre terrain d'expérimentation a été envahit par des Crays. Il nous est donc difficile d'y accéder aujourd'hui. Je te demanderai d'aller y prélever des échantillons de nos travaux : $mp_dead_leaf.pia$ $mp_dead_leaf.p$, et je sais que tu te feras un grand plaisir de m'aider... merci, merci infiniment.{break}Tu te dis peut être que cette mission doit être dangereuse à cause de la présence de Crays. Je te rassure, à moins que tu ne les provoquent, les crays ne t'attaqueront pas. Cela dit, j'ai un conseil à te donner qui pourra t'éviter bien des misères. Si jamais tu te fais attaquer par un Cray, jette-toi dans l'eau, tu peux être sûr qu'il ne te suivra pas.{break}De plus, il existe une technique que tu pourras acquérir chez ton entraîneur que l'on nomme Accélération et qui permet de fuir très très vite, ça peut t'être très utile. Maintenant va, et bon courage, essaye de revenir en un seul morceau !]

// HASH_VALUE 43E126E43A260A61
// INDEX 4686
mission_tryker_08_p_ovl_visit_ilot	[Rendez-vous sur l'îlot situé au nord ouest du campement]

// HASH_VALUE 149C7CF3DB552ABB
// INDEX 4687
mission_tryker_09_mis_desc	[Aller saboter des gisements de Goo.]

// HASH_VALUE 7A469349DB673F5A
// INDEX 4688
mission_tryker_09_mis_title	[Le joyeux récolteur #2]

// HASH_VALUE 1D5EB4C49F57E454
// INDEX 4689
mission_tryker_09_p_ldcc_debrief	[Ca a marché ? Formidable !! Ce n'est probablement pas ça qui nous débarrassera d'eux mais au moins, les imaginer face à de la Goo inutilisable me fait bien rire !{break}Tu as beaucoup fait pour nous les Trykers, et ça a été un immense plaisir que de t'apprendre ce que je sais et de travailler avec toi. Accepte ce modeste présent en remerciement de tous tes efforts, c'est le moins que je puisse faire pour toi.{break}C'est ici que nos routes se séparent, mais je ne suis pas inquiète pour toi, je pense que tu feras un grand récolteur. Ne perds pas ta curiosité et ton courage, et tu iras loin. Bon, côté adieux déchirants, je crois qu'on va stopper là, sinon je vais encore fondre en larmes. Aller file.{break}Ah, j'oubliais, tu devrais passer voir les gens de la Karavan, ils auront sûrement des missions intéressantes à te proposer.]

// HASH_VALUE E24EAAAEE3705F52
// INDEX 4690
mission_tryker_09_p_ldcc_intro	[As-tu remarqué la présence d'un groupe de bandits au nord de notre îlot ? Ce sont $tribu_chlorogoo.mia$ $tribu_chlorogoo.name$, de véritables dingues. Ils infectent les plantes comme les Slaveni ou les Cratcha avec de la Goo, et ensuite ils récoltent le résultat et se l'injecte pendant des rituels effrayants. Au cas où tu ne le saurais pas, la Goo est un mal qui contamine Atys. Sa progression est lente mais nous n'arrivons pas à la stopper. Ces bandits, $tribu_chlorogoo.mia$ $tribu_chlorogoo.name$, rendent la région impraticable, ils s'attaquent à tous ceux qui ont la mauvaise idée de s'y aventurer, c'est un véritable fléau. De plus, ils infectent les malheureux qu'ils ont fait prisonniers avec leur satanée drogue. Je ne te raconte pas l'état dans lequel on en a retrouvés.{break}Bref, je ne pense pas que l'on soit de taille à les affronter l'arme à la main mais je connais un moyen de leur pourrir la vie. Et cette mission je te la réserve... quel honneur ! Il faut que tu trouves les points de Goo à proximité de leur campement et que tu verses dessus un petit mélange de notre confection : un produit que l'on utilise pour sécher nos mixtures. Juste quelques gouttes suffiront à polluer la Goo. Alors fais moi plaisir et verse-y toute cette flasque, ils ne devraient plus pouvoir s'en servir pour leur drogue.]

// HASH_VALUE CFB125080F76AEC8
// INDEX 4691
mission_tryker_09_p_ovl_give_mixture	[Videz le contenu de votre flasque sur 4 spots de Goo situés à proximité du camp $tribu_chlorogoo.mcc$ $tribu_chlorogoo.name$, dans le lac]

// HASH_VALUE AED6E7AB7E7EBE2F
// INDEX 4692
mission_tryker_09_p_t2_ovl_return	[Retournez voir $givervar$ et informez-la du succès de votre mission]

// HASH_VALUE EB0CB0627F5867B4
// INDEX 4693
mission_tryker_09_p_t2_return	[Je crois que les Chlorogoos vont avoir une mauvaise surprise]

// HASH_VALUE 07A9D2587547530C
// INDEX 4694
mission_tryker_09_sys_msg_goo	[La Goo absorbe la mixture qui semble immédiatement faire effet.]

// HASH_VALUE C90CD5BBC6A8B1CE
// INDEX 4695
mission_tryker_10_goseemayor_1	[Suivez votre radar pour trouver $guide$]

// HASH_VALUE 6B9BA79FC334B7B1
// INDEX 4696
mission_tryker_10_mis_desc	[Retourner voir $guide$]

// HASH_VALUE 978AAB92D8FBD08E
// INDEX 4697
mission_tryker_10_mis_title	[Essayer une autre profession]

// HASH_VALUE 562A8262DB82B2A5
// INDEX 4698
mission_tryker_10_p_ldc_introp	[$guide$ t'indiquera où te rendre]

// HASH_VALUE FCA82FD285013B5A
// INDEX 4699
mission_zorai_01_desc_sm_cast_spell	[@{W400}Pour lancer un sort il vous suffit de sélectionner votre cible avec le bouton gauche de la souris, puis, de cliquer sur l'icône du sort que vous souhaitez lancer dans l'@{F90F}Interface des Mains@{FFFF} (barre située en haut de votre écran).\n
	Dans le cas présent, sélectionnez un Yubo, puis cliquer sur l'icône représentant une petite flaque verte nommée @{F90F}Dégats d'Acide 1@{FFFF}. Cliquez de nouveau sur l'icône si vous souhaitez relancer ce sort.]

// HASH_VALUE 7406104786900CCE
// INDEX 4700
mission_zorai_01_mis_desc	[Apprendre à lancer un sort contre un ennemi]

// HASH_VALUE EC38D82D0C663F57
// INDEX 4701
mission_zorai_01_mis_title	[Premiers pas en magie #1]

// HASH_VALUE 34C98DFD7ED3FFF8
// INDEX 4702
mission_zorai_01_p_dcc_debrief	[Tu viens d'accomplir ta première mission avec succès, je vois que tu es tout à fait apte à aborder des sujets plus complexes. Nous pouvons donc passer à la suite.]

// HASH_VALUE 1F7421617AB67CDE
// INDEX 4703
mission_zorai_01_p_dcc_suite_answer_yes_m	[Très bien, commençons ! Tout d'abord, tu dois savoir que les pouvoirs d'un mage se nourrissent de la sève. La sève est l'énergie vitale d'Atys, c'est l'essence même de cette planète. La sève, c'est la vie, et tout sur Atys n'est que vie : toi, moi, l'ami qui combat à tes côtés, l'ennemi que tu pourfends, l'arbre qui te protège de la pluie, le sol que tu foules... tout !{break}Ces notions peuvent te paraître bien abstraites, saches cependant qu'elles sont essentielles. En tant que mage, tu devras apprendre à contrôler la sève pour y puiser tes pouvoirs. Plus forte sera ton emprise sur la sève et plus puissants seront les sorts que tu pourras utiliser.{break}Tu as en toi, comme tous les Homins, un sort inné : le sort de Dégâts d'Acide, qui te permettra de combattre tes ennemis en brûlant leurs chairs. Avant de passer aux choses sérieuses, tu dois maîtriser ce sort élémentaire. Je t'invite donc à aller t'entraîner contre des Yubos, ces petits herbivores ne sont pas agressifs, ce qui ne veut bien entendu pas dire qu'ils ne se défendent pas, reste donc prudent, soigne toi entre deux combats, et évite d'attaquer plus d'un Yubo à la fois.{break}Tu trouveras des Yubos à proximité du campement. Maintenant va, fais bon usage de ces premiers conseils et reviens me voir une fois ta tâche accomplie.]

// HASH_VALUE F6F0BB5C9F820422
// INDEX 4704
mission_zorai_01_p_dcc_suite_answer_yes_f	[Très bien, commençons ! Tout d'abord, tu dois savoir que les pouvoirs d'un mage se nourrissent de la sève. La sève est l'énergie vitale d'Atys, c'est l'essence même de cette planète. La sève, c'est la vie, et tout sur Atys n'est que vie : toi, moi, l'ami qui combat à tes côtés, l'ennemi que tu pourfends, l'arbre qui te protège de la pluie, le sol que tu foules... tout !{break}Ces notions peuvent te paraître bien abstraites, saches cependant qu'elles sont essentielles. En tant que mage, tu devras apprendre à contrôler la sève pour y puiser tes pouvoirs. Plus forte sera ton emprise sur la sève et plus puissants seront les sorts que tu pourras utiliser.{break}Tu as en toi, comme tous les Homins, un sort inné : le sort de Dégâts d'Acide, qui te permettra de combattre tes ennemis en brûlant leurs chairs. Avant de passer aux choses sérieuses, tu dois maîtriser ce sort élémentaire. Je t'invite donc à aller t'entraîner contre des Yubos, ces petits herbivores ne sont pas agressifs, ce qui ne veut bien entendu pas dire qu'ils ne se défendent pas, reste donc prudente, soigne toi entre deux combats, et évite d'attaquer plus d'un Yubo à la fois.{break}Tu trouveras des Yubos à proximité du campement. Maintenant va, fais bon usage de ces premiers conseils et reviens me voir une fois ta tâche accomplie.]

// HASH_VALUE EE48091D0B69B283
// INDEX 4705
mission_zorai_01_p_ldc_starting_m	[Salutations étranger, c'est toujours un plaisir de découvrir de nouveaux visages. Mon apparence t'intrigue sûrement : sache que j'appartiens au peuple Zoraï. Mon peuple est le premier à avoir connu ces nobles créatures que sont les Kamis et nous en sommes restés très proches. D'ailleurs, le masque que nous portons, moi et mes semblables, est un témoignage de leur enseignement.{break}Tous comme les Kamis, nous les Zorais sommes intimement liés aux forces magiques d'Atys. Si tu as la patience et la volonté d'apprendre à maîtriser ces forces, je me ferai un plaisir de te guider dans ta quête de connaissances. Bien Homin, poursuivons.]

// HASH_VALUE DEDFE5ED2C0E0ED7
// INDEX 4706
mission_zorai_01_p_ldc_starting_f	[Salutations étrangère, c'est toujours un plaisir de découvrir de nouveaux visages. Mon apparence t'intrigue sûrement : sache que j'appartiens au peuple Zoraï. Mon peuple est le premier à avoir connu ces nobles créatures que sont les Kamis et nous en sommes restés très proches. D'ailleurs, le masque que nous portons, moi et mes semblables, est un témoignage de leur enseignement.{break}Tous comme les Kamis, nous les Zorais sommes intimement liés aux forces magiques d'Atys. Si tu as la patience et la volonté d'apprendre à maîtriser ces forces, je me ferai un plaisir de te guider dans ta quête de connaissances. Bien Homine, poursuivons.]

// HASH_VALUE B8C96B4B9179D81D
// INDEX 4707
mission_zorai_01_p_t2_givervar	[J'ai terminé ma mission]

// HASH_VALUE D866715E6BF96872
// INDEX 4708
mission_zorai_01_p_t2_ovl_givervar	[Retournez parler à $givervar$]

// HASH_VALUE 6C9A4F9B9592F443
// INDEX 4709
