// HASH_VALUE A575E93668996B62
// INDEX 0
abandon_mission	[&TSK&Has abandonado una misión.]

// HASH_VALUE 044A976E08D6CB9B
// INDEX 4933
newb_kami_adept_automenu	[Cómo puedo llegar al continente?]

// HASH_VALUE ACDC692730DB21F8
// INDEX 4934
newb_kami_adept_desc	[Encuentra al Predicador Kami utilizando tu brújula.]

// HASH_VALUE 7F43355CE583A170
// INDEX 4935
newb_kami_adept_system_msg_1	[Puedes encontrar la entrada hacia $target$ en el menú de la misión de tu brújula.]

// HASH_VALUE 15F9A04C94B87079
// INDEX 4936
newb_kami_adept_title	[Encuentras al Predicador Kami]

// HASH_VALUE 5E11C89BA5C1B42F
// INDEX 4937
newb_karavan_guide_1	[Así que, homin, quieres llegar a la $capitale$, la capital de tu pueblo? Gracias al poder de la todopoderosa Jena, el Karavan te puede llevar ahí por medio de la teletransportación. Pero primero debes encontrar a $target$, que no está muy lejos de aquí. Utiliza tu brújula para que te guíe.]

// HASH_VALUE 044A976E08D6CB9B
// INDEX 4938
newb_karavan_guide_automenu	[Cómo puedo llegar al continente?]

// HASH_VALUE 6AA5166C9EF20A62
// INDEX 4939
newb_karavan_guide_desc	[Encontrar al teletrasnportador  Karavan utilizando tu brújula.]

// HASH_VALUE 7F43355CE583A170
// INDEX 4940
newb_karavan_guide_system_msg_1	[Puedes encontrar la entrada a $target$ en la misión del menú de tu brújula.]

// HASH_VALUE 464988A013C79C8D
// INDEX 4941
newb_karavan_guide_title	[Encontrando al teletransportador Karavan]

// HASH_VALUE 2DB8843BAE38A407
// INDEX 4942
newb_team_fight_automenu	[Misión del equipo]

// HASH_VALUE 658877C6B1091A13
// INDEX 4943
newb_team_fight_desc	[Tu equipo debe encontrar y matar algunos de los $kipee.p$ para proteger a las tierras de la amenaza de los $kitin.p$.]

// HASH_VALUE 63DFA505DC317871
// INDEX 4944
newb_team_fight_end_1	[Hiciste un buen trabajo! $people$ está orgulloso de ti. Tu fama se incrementará con esta Victoria!]

// HASH_VALUE 770BE111944AF4D9
// INDEX 4945
newb_team_fight_end_2	[La fama es muy importante para los homins. Con buena fama, gente importante confiará en ti. Pero si tienes una mala reputación, te convertirás en alguién indeseable.... o peor, serás tratado como un enemigo. De nuevo, felicidades por tu victoria!]

// HASH_VALUE ECB4EC78714D396B
// INDEX 4946
newb_team_fight_step_1_1	[Parece como si algunos $kipee.p$, de la familia $kitin$, han logrado ubicarnos. Es crucial que tomemos acciones inmediatas en contra de ellos!]

// HASH_VALUE DCD3E68941ADDDFB
// INDEX 4947
newb_team_fight_step_1_2	[$kipee.p$ no parecen ser criaturas agresivas, pero no olvidemos lo que hicieron a nuestros ancestros. Ellos pueden ser máquinas asesinas extremadamene peligrosas que cazan a los homins hasta aniquilarlos.]

// HASH_VALUE 86E5557603DD5BA3
// INDEX 4948
newb_team_fight_step_1_3	[Tu equipo debe encontrarlos y matarlos. Te advierto, estos son monstruos perversos, y deberías estar preparado. Buena suerte!]

// HASH_VALUE 6B4588B66885B4B9
// INDEX 4949
newb_team_fight_title	[Encuentro con la justicia de la hominidad]

// HASH_VALUE FEAE05371BDADB3F
// INDEX 4950
new_compass	[&SYS&Nuevo objetivo agregado a la brújula.]

// HASH_VALUE 77B37E6A33C0AD4E
// INDEX 4951
no_action_when_sitting	[&CHK&No puedes utilizar acciones  mientras estás sentado.]

// HASH_VALUE F8C84F56373666B1
// INDEX 4952
no_action_while_intangible	[&CHK&No puedes utilizar una acción mientras eres intangible.]

// HASH_VALUE 3394D858CF778956
// INDEX 4953
no_action_while_mounted	[&CHK&No puedes utilizar acciones mientras estás montando.]

// HASH_VALUE 4DFAF15553329970
// INDEX 4954
no_action_while_swimming	[&CHK&No puedes utilizar acciones mientras estás cerca del agua.]

// HASH_VALUE 9D7A0FCD4B696196
// INDEX 4955
no_action_while_transaction	[&CHK&No puedes utilizar una acción mientras tienes un bot de charla o una transacción en progreso.]

// HASH_VALUE 62C887530AA1E8CA
// INDEX 4956
npe_fight_doh	[Ve. No tengo dudas que ha ido un poco demasiado rápido, pero los Karavan o los Kami te resucitarán... Lo espero.]

// HASH_VALUE C0B3C13020098DAD
// INDEX 4957
npe_fight_engage_01	[Deja de hablar y lucha.]

// HASH_VALUE AE7A7E6C87F50329
// INDEX 4958
npe_fight_engage_02	[Si realmente lo deseas... *mirada*]

// HASH_VALUE B34A297C2B8E4498
// INDEX 4959
npe_fight_engage_03	[Aah... *bostezo* Me quedé dormido!]

// HASH_VALUE 31D80C2DD7F8F7B2
// INDEX 4960
npe_fight_engage_04	[La última vez no era suficiente para ti?]

// HASH_VALUE E927B6A21A7DECA7
// INDEX 4961
npe_fight_i_lose_01	[*herida* Argh...]

// HASH_VALUE 75FDDD96A2BC9738
// INDEX 4962
npe_fight_i_lose_02	[*respira* Okay, okay... detente, has ganado.]

// HASH_VALUE 4EA70564C1B2DD43
// INDEX 4963
npe_fight_i_lose_03	[Hey! Casi me matas!? Détente, eres muy peligroso.]

// HASH_VALUE 0B3C249749FC928A
// INDEX 4964
npe_fight_i_lose_04	[Vamos, eso es suficiente, estoy harto.]

// HASH_VALUE 87AF085DA2B90DC2
// INDEX 4965
npe_fight_i_win_01	[Ajá, ya ves? Soy el mejor, todavía tienes dudas de ello?]

// HASH_VALUE 1E14C1FFA6249837
// INDEX 4966
npe_fight_i_win_02	[Tengo la impresión que te vuelves un poco peor con cada batalla.]

// HASH_VALUE 6A2E71DACACB0183
// INDEX 4967
npe_fight_i_win_03	[Ajá! No está mal, esta vez pensé que en realidad podría perder.]

// HASH_VALUE 94CBD44C8AFA2FC9
// INDEX 4968
npe_fight_i_win_04	[*flexiona sus músculos* Próximo!]

// HASH_VALUE 251A9C6F85020AB0
// INDEX 4969
npe_fight_start_01	[Estoy en una forma excepcional el día de hoy, podría matar a Daï-Den yo solo creo!]

// HASH_VALUE A6E7884CA4495DC8
// INDEX 4970
npe_fight_start_02	[Levántate! Tengo que mostrarte lo que Utehes Isy me enseño.]

// HASH_VALUE FBB6D2D086B80CE1
// INDEX 4971
npe_fight_start_03	[*se estira* Estoy cansado de estar sentado. Una pequeña batalla para calentar?]

// HASH_VALUE 344C69E6CAF5C829
// INDEX 4972
npe_fight_start_04	[Brinco hasta esta! Has descansado lo suficiente; necesitamos luchar o me duermo!]

// HASH_VALUE A5F35A9BEA3DE844
// INDEX 4973
onclick_atdest_newb_fyros_kami	[Ve y habla con los Kami, no seas tímido, joven amigo.]

// HASH_VALUE 58EAA292739A20FE
// INDEX 4974
onclick_atdest_newb_kami	[Ve y habla con el Predicador Kami, no seas tímido, mi joven amigo.]

// HASH_VALUE 18FE0A6C5CD93271
// INDEX 4975
onclick_adtest_newb_kguard	[Deberás hablar con el maestro teletransportador Karavan.]

// HASH_VALUE EB5B527B2A43AE58
// INDEX 4976
onclic_followme_newb_kguard	[Sígueme para encontrar el telepod.]

// HASH_VALUE 81A586291D11115B
// INDEX 4977
onclick_newb_fyros_guard	[Ten cuidado allá afuera, la jungla está llena de peligros!]

// HASH_VALUE 81A586291D11115B
// INDEX 4978
onclick_newb_fyros_guard_1	[Ten cuidado allá afuera, la jungla está llena de peligros!]

// HASH_VALUE EA88578CAA965343
// INDEX 4979
onclick_newb_fyros_guard_2	[Hey! Escuché que los Guardianes Karavan Guardians están cerca, ten cuidado ellos dicen que son poderosos como como los Kamis. Es eso posible?]

// HASH_VALUE 0E5612B9CC3ACC75
// INDEX 4980
onclick_newb_fyros_guard_3	[Me pregunto si has visto a los Karavan antes? Ellos son extraños pero algunas veces, son conocidos por ser de utilidad.]

// HASH_VALUE DA52D1199A53D704
// INDEX 4981
onclick_newb_fyros_guard_4	[Ten cuidado con los Kitins, tratamos de mantenerlos a raya, pero siempre hay algunos merodeando cerca.]

// HASH_VALUE 00E2BF8DED359FBB
// INDEX 4982
onclick_newb_fyros_guard_5	[Cómo va tu entrenamiento?]

// HASH_VALUE 1BB6FB6A6C65976A
// INDEX 4983
onclick_newb_fyros_instructor_3	[Cómo va tu entrenamiento?]

// HASH_VALUE 509E6AD4C93F713E
// INDEX 4984
onclick_newb_fyros_instructor_4	[Realmente debes actualizar tu equipo.]

// HASH_VALUE 05001B08D928278E
// INDEX 4985
onclick_newb_fyros_instructor_5	[Aprende nuevas acciones para ser más poderoso.]

// HASH_VALUE BCD0A9B0D27D4ABC
// INDEX 4986
onclick_newb_fyros_kamiteleport	[Los Kamis te pueden enviar con tu especie.... en el Desierto Ardiente.]

// HASH_VALUE BD3739D5B9EB1CEB
// INDEX 4987
onclick_newb_fyros_merchant	[Tengo algunos objetos que te van a interesar!]

// HASH_VALUE 4E11CC8A5E96B498
// INDEX 4988
onclick_newb_fyros_onclick_newb_fyros_kami	[Si deseas llegar a la capital en el Desierto Ardiente, puedo ayudarte.]

// HASH_VALUE 5F4D4955071C4859
// INDEX 4989
onclick_newb_fyros_onclick_newb_fyros_kguard	[Si estás en busca del telepod, sígueme.]

// HASH_VALUE 11A2DD76FE6502DC
// INDEX 4990
onclick_newb_fyros_onclick_newb_fyros_kteleport	[Puedo teletransportarte hacia las Dunas Imperiales, homin.]

// HASH_VALUE A841683F2AD3B75B
// INDEX 4991
onclick_newb_matis_guard	[Ten cuidado allá afuera!]

// HASH_VALUE FDA4E35D35368842
// INDEX 4992
onclick_newb_matis_guard_1	[&BBL&Ten cuidado allá afuera!]

// HASH_VALUE 25B4E8086B667FFA
// INDEX 4993
onclick_newb_matis_guard_2	[Hey! Si ves a los Guardianes Karavan! De regreso en el puesto, escuché a un guerrero decir que ellos son incluso más peligrosos que los guerreros Fyros. Es eso posible?]

// HASH_VALUE A14DC624C6290714
// INDEX 4994
onclick_newb_matis_guard_3	[Apuesto a que nunca antes has visto a los Karavan? Es algo bueno que nosotros estamos bien con ellos. Pero no puedo dejar de pensar que hay algo misterioso sobre ellos.]

// HASH_VALUE B2DE717352E47D99
// INDEX 4995
onclick_newb_matis_guard_4	[Vigila a los Kitins, todavía hay algunos deambulando por ahí.>]

// HASH_VALUE 00E2BF8DED359FBB
// INDEX 4996
onclick_newb_matis_guard_5	[Cómo va tu entrenamiento?]

// HASH_VALUE 68C8A444416FBBB3
// INDEX 4997
onclick_newb_matis_instructor_3	[Bienvenido, homin.]

// HASH_VALUE 02D57282D04AB0B0
// INDEX 4998
onclick_newb_matis_instructor_4	[Realmente necesitas actualizar tu equipo. Ve a ver a un comerciante para comprar algunos nuevos equipos.]

// HASH_VALUE EE7C3CF78806ECB0
// INDEX 4999
onclick_newb_matis_instructor_5	[Aprende nuevas acciones para volverte más poderoso. Puedes comprarlos con tus habilidades de entrenador.]

// HASH_VALUE B27BB0DD488033E5
// INDEX 5000
onclick_newb_matis_merchant	[Tengo algunos objetos que te van a interesar!]

// HASH_VALUE 5C5221F2BF66348F
// INDEX 5001
onclick_newb_matis_onclick_newb_matis_kguard	[Si quieres llegar a la capital en las Alturas Verdant, puedo ayudarte.]

// HASH_VALUE 6152FD5EFA210E54
// INDEX 5002
onclick_newb_matis_onclick_newb_matis_kteleport	[Puedo teletransportarte a los Jardínes Mágicos, homin.]

// HASH_VALUE 81A586291D11115B
// INDEX 5003
onclick_newb_tryker_guard	[Ten cuidado allá afuera, la jungle está llena de peligros!]

// HASH_VALUE 81A586291D11115B
// INDEX 5004
onclick_newb_tryker_guard_1	[Ten cuidado allá afuera, la jungla está llena de peligros!]

// HASH_VALUE EA88578CAA965343
// INDEX 5005
onclick_newb_tryker_guard_2	[Hey! Escuché que los Guardianes Karavan están cerca, ten cuidado dicen que son tan poderosos como los Kamis. Es éso posible?]

// HASH_VALUE ED292C68D31B4D57
// INDEX 5006
onclick_newb_tryker_guard_3	[Me pregunto si has visto a los Karavan antes? Ellos son extraños pero algunas veces, son conocidos por ser de utilidad.]

// HASH_VALUE EA00CE372A1A20BC
// INDEX 5007
onclick_newb_tryker_guard_4	[Ten cuidado si ves algún Kitins, trata cómo nosotros lo haremos, de mantenerlos alejados, siempre hay algunos de los miserables amontonándose alrededor.]

// HASH_VALUE 00E2BF8DED359FBB
// INDEX 5008
onclick_newb_tryker_guard_5	[Cómo va tu entrenamiento?]

// HASH_VALUE 1BB6FB6A5C65976A
// INDEX 5009
onclick_newb_tryker_instructor_3	[Cómo va tu entrenamiento'?]

// HASH_VALUE 509E6AD4C93F713E
// INDEX 5010
onclick_newb_tryker_instructor_4	[Realmente debes actualizar tu equipo.]

// HASH_VALUE 05001B08D928278E
// INDEX 5011
onclick_newb_tryker_instructor_5	[Aprende nuevas acciones para ser más poderoso.]

// HASH_VALUE 676C01D8E7D13815
// INDEX 5012
onclick_newb_tryker_merchant	[Tengo algunos objetos que serán de tu interés!]

// HASH_VALUE 6DE7AAC519896BB2
// INDEX 5013
onclick_newb_tryker_onclick_newb_tryker_kguard	[Si quieres llegar a la capital en el Aeden Acuoso, puedo ayudarte.]

// HASH_VALUE 7528CC5FC3A70E30
// INDEX 5014
onclick_newb_tryker_onclick_newb_tryker_kteleport	[Puedo teletransportarte al Lago de la Libertad, homin.]

// HASH_VALUE 81A586291D11115B
// INDEX 5015
onclick_newb_zorai_guard	[Ten cuidado allá afuera, la jungla está llena de peligros!]

// HASH_VALUE 81A586291D11115B
// INDEX 5016
onclick_newb_zorai_guard_1	[Te cuidado allá afuera, la jungla está llena de peligros!]

// HASH_VALUE 09B4E8FB2D9621E2
// INDEX 5017
onclick_newb_zorai_guard_2	[Escuché que los Guardianes Kamis están cerca. Recuerda, se dice que no hay otro más fuerte en este planeta.]

// HASH_VALUE 5B213FDFFB06963A
// INDEX 5018
onclick_newb_zorai_guard_3	[Me pregunto si has visto a los Kamis antes? Son el verdadero espíritu de Atys, respétalos y ellos te ayudarán.]

// HASH_VALUE 70260BA819FF3258
// INDEX 5019
onclick_newb_zorai_guard_4	[Ten cuidado si ves a algunos Kitins, aún si tratamos de mantenerlos a raya siempre hay unos cuantos que al acecho cerca de aquí.]

// HASH_VALUE 00E2BF8DED359FBB
// INDEX 5020
onclick_newb_zorai_guard_5	[Cómo está tu entrenamiento?]

// HASH_VALUE 1BB6FB6A6C65976A
// INDEX 5021
onclick_newb_zorai_instructor_3	[Ve a ver a los comerciantes para comprar nuevos objetos.]

// HASH_VALUE 509E6AD4C93F713E
// INDEX 5022
onclick_newb_zorai_instructor_4	[No olvides actualizar tu equipo después de que avances.]

// HASH_VALUE 05001B08D928278E
// INDEX 5023
onclick_newb_zorai_instructor_5	[Aprende nuevas acciones para ser más poderoso.]

// HASH_VALUE A069FC6D52008390
// INDEX 5024
onclick_newb_zorai_kamiteleport	[Los Kamis te envían con tu especie... en Witherings.]

// HASH_VALUE 783EE9E6023EDCFB
// INDEX 5025
onclick_newb_zorai_kamiteleport_back	[Quieres regresar a la isla? Kamis pueden ayudar.]

// HASH_VALUE BD3739D5B9EB1CEB
// INDEX 5026
onclick_newb_zorai_merchant	[Tengo algunos objetos que defitivamente te interesarán!]

// HASH_VALUE 1FECE8EA46C4DFFA
// INDEX 5027
onclick_newb_zorai_onclick_newb_zorai_kami	[Si quieres llegar a la capital en los Witherings, puedo ayudarte.]

// HASH_VALUE 92CCCE6F06D6817D
// INDEX 5028
onclick_newb_zorai_onclick_newb_zorai_kguard	[Si estás buscando por el telepod, sígueme.]

// HASH_VALUE 4C217B46021C6680
// INDEX 5029
onclick_newb_zorai_onclick_newb_zorai_kteleport	[Puedo teletransportarte a las Ciudades de la Intuición en los Witherings, homin.]

// HASH_VALUE ACEF69B86C7D7693
// INDEX 5030
onclick_onroad_newb_fyros_kami	[Relájate, homin, pronto estaremos ahí!]

// HASH_VALUE F0ED446808CABD4B
// INDEX 5031
onclick_onroad_newb_kami	[Ten paciencia, pronto estaremos ahí.]

// HASH_VALUE C14CD8F572CAC98A
// INDEX 5032
onclick_onroad_newb_kgurd	[Vamos a conocer al maestro teletransportador...]

// HASH_VALUE 18FE0A6C5CD93271
// INDEX 5033
onclic_adtest_newb_kguard	[Debes hablar con el maestro teletransportador Karavan.]

// HASH_VALUE C14CD8F572CAC98A
// INDEX 5034
onclic_onroad_newb_kguard	[Vamos a conocer al maestro teletransportador...]

// HASH_VALUE 9D0FD295A3FBF38E
// INDEX 5035
one_faber_plan_allowed_per_sentence	[&CHK&Sólo un plan de fabricación (estancias obligatorias) es permitida en una acción de fabricación! Acción de fabricación abortada!]

// HASH_VALUE 77ACCD18F361CF56
// INDEX 5036
onfollow_newb_fyros_onclick_newb_fyros_kami	[Vamos. Prepárate para un encuentro impresionante.]

// HASH_VALUE 4583564605B83553
// INDEX 5037
onfollow_newb_fyros_onclick_newb_fyros_kguard	[Vamos!]

// HASH_VALUE 4583564605B83553
// INDEX 5038
onfollow_newb_matis_onclick_newb_matis_kguard	[Vamos!]

// HASH_VALUE 4583564605B83553
// INDEX 5039
onfollow_newb_tryker_onclick_newb_tryker_kguard	[Vamos!]

// HASH_VALUE AA475244E277A611
// INDEX 5040
onfollow_newb_zorai_onclick_newb_zorai_kami	[Ven ahora, y prepárate para un encuentro maravilloso.]

// HASH_VALUE 4583564605B83553
// INDEX 5041
onfollow_newb_zorai_onclick_newb_zorai_kguard	[Vamos!]

// HASH_VALUE 87C3B92979EC197D
// INDEX 5042
only_one_root_faber	[&CHK&Solamente una estancia de raíz es permitida en una acción de fabricación, acción de fabricación abortada!]

// HASH_VALUE 529E2527DFD8FD60
// INDEX 5043
phrase_buy	[&ITM&Acabas de aprender "$s$" para $cost$ puntos de habilidad.]

// HASH_VALUE C2833A6F4042333E
// INDEX 5044
phrase_buy_1	[&ITM&Acabas de aprender "$s$" para un punto de habilidad.]

// HASH_VALUE 66A98B32C86264CD
// INDEX 5045
phrase_buy_combat	[&ITM&Aprendes la acción de combate "$s$" por $cost$ puntos de habilidad.]

// HASH_VALUE DE84C477D97B7F1B
// INDEX 5046
phrase_buy_combat_1	[&ITM&Aprendes la acción de combate "$s$" por un punto de habilidad.]

// HASH_VALUE 159D80375C5BCA1C
// INDEX 5047
phrase_buy_faber	[&ITM&Aprendes el plan de fabricación "$s$" por $cost$ puntos de habilidad.]

// HASH_VALUE 7607B615CC40DF64
// INDEX 5048
phrase_buy_faber_1	[&ITM&Aprendes el plan de fabricación "$s$" por un punto de habilidad.]

// HASH_VALUE 0A733ED1C01BD768
// INDEX 5049
phrase_buy_magic	[&ITM&Aprendes el hechizo "$s$" por $cost$ puntos de habilidad.]

// HASH_VALUE 824E7716D134F2B6
// INDEX 5050
phrase_buy_magic_1	[&ITM&Aprendes el hechizo "$s$" por un punto de habilidad.]

// HASH_VALUE 06F97D70DFFFF9F3
// INDEX 5051
phrase_characteristic_buy	[&ITM&Incrementas tu $c$ a $value$ por $cost$ puntos de habilidad.]

// HASH_VALUE 452F39A1C7816A15
// INDEX 5052
phrase_missing_credit	[&CHKCB&Sin suficiente crédito para llevar a cabo esta acción.]

// HASH_VALUE 058B793395BEA658
// INDEX 5053
phrase_not_enough_focus	[&CHKCB&Sin suficiente enfoque para llevar a cabo esta acción.]

// HASH_VALUE CB15421848011677
// INDEX 5054
phrase_use_predef	[&SPLM&Utilizas $s$.]

// HASH_VALUE F4C7BD949F548DE5
// INDEX 5055
plan_faber_not_second	[&CHK&Las estancias del plan de fabricación deben estar en segunda posición en la acción! Favor informar este error con la acción exacta utilizada. Gracias!]

// HASH_VALUE DD4B87A8162A9252
// INDEX 5056
power_aura_activate	[&SPLM&Activas tu poder "$p$".]

// HASH_VALUE 98B79CCEF401F2A2
// INDEX 5057
power_aura_activate_spectators	[&SYS&$e.da$ $e$ activa el poder "$p$".]

// HASH_VALUE 9E8EB43489945F80
// INDEX 5058
power_balance_actor	[&SPLM&Utilizas poder "$p$" y los miembros del equipo afectados $newVal$% de sus máximos $s.points$.]

// HASH_VALUE 06EE1C914EC7FF4D
// INDEX 5059
power_balance_no_team	[&CHK&Debes estar en un equipo para utilizar el poder del Equilibrio.]

// HASH_VALUE 3CFC5D39C69D467D
// INDEX 5060
power_balance_others	[&SYS&$e.da$ $e$ utiliza el poder de "$p$" y ahora tu tienes $newVal$% de tus $s.points$.]

// HASH_VALUE 96D378D284CDEE58
// INDEX 5061
power_still_disabled_ms	[&CHKCB&Tu poder "$p$" estará disponible en $m$ minutos y $s$ segundos.]

// HASH_VALUE A286783B8FA5B191
// INDEX 5062
power_still_disabled_m	[&CHKCB&Tu poder "$p$" estará disponible en $m$ minutos.]

// HASH_VALUE A1E7783BD0449986
// INDEX 5063
power_still_disabled_s	[&CHKCB&Tu poder "$p$" estará disponible en $s$ segundos.]

// HASH_VALUE 4FD3DD7B5331A287
// INDEX 5064
power_effect_ends	[&SPLM&Los efectos del poder de "$p$" se terminan.]

// HASH_VALUE 0D10F2243FA22276
// INDEX 5065
power_taunt	[&SPLM&Te burlas de $e.da$ $e$.]

// HASH_VALUE 9688964F98585F86
// INDEX 5066
power_taunt_failed	[&MISM&Fallas al burlarte de $e.da$ $e$.]

// HASH_VALUE CE480A76B0F5B6AC
// INDEX 5067
power_taunt_level_too_high	[&CHKCB&$e.da$ $e$ es muy poderoso para estar impresionado por tu burla.]

// HASH_VALUE E036EDABDAFCF374
// INDEX 5068
power_taunt_target_not_attackable	[&CHKCB&Solo puedes burlarte de criaturas atacables o de un PNJ (Personaje no Jugador).]

// HASH_VALUE 7616C81EA58FD2AA
// INDEX 5069
power_taunt_target_too_far	[&CHKCB&$e.da$ $e$ está demasiado lejos como para ser burlado.]

// HASH_VALUE CBE0157DC6020672
// INDEX 5070
power_use	[&SPLM&Utilizas el poder "$p$".]

// HASH_VALUE B6EC67BE22863397
// INDEX 5071
power_use_on_target	[&SPLM&Utilizas tu poder "$p$" en $e.da$ $e$.]

// HASH_VALUE 0A880A0B2717EFC6
// INDEX 5072
power_use_on_target_failed	[&MISM&Tu poder "$p$" no tuvo efecto en $e.da$ $e$.]

// HASH_VALUE BCC372C89A8E032D
// INDEX 5073
power_use_on_target_spectators	[&SYS&$user.da$ $user$ utilize el poder "$p$" en $target.da$ $target$.]

// HASH_VALUE C95CF1F324F4E2A9
// INDEX 5074
power_use_on_target_target	[&SYS&$user.da$ $user$ utiliza el poder "$p$" en ti.]

// HASH_VALUE D42F27514B308AD9
// INDEX 5075
power_use_spectators	[&SYS&$e.da$ $e$ utiliza el poder "$p$".]

// HASH_VALUE 4952F07C077DC689
// INDEX 5076
progress_death_penalty_complete	[&XP&Ya no tienes pena de muerte en XP!]

// HASH_VALUE 53A986DBCD005121
// INDEX 5077
progress_death_penalty_payback	[&XP&Tu pena de muerte ahora es de $k$ puntos después de sustraer $j$ puntos. Deberás haber ganado $i$ puntos de experiencia en '$s$' sin una pena de muerte.]

// HASH_VALUE 549EFD223BA0C2F7
// INDEX 5078
progress_free_trial_limit	[&XP&No ganas experiencia en '$s$' porque has alcanzado una prueba de límite gratuita. Para progresar más en esta habilidad debes ascender de categoría tu cuenta.]

// HASH_VALUE 8328241D2955AE9A
// INDEX 5079
progress_hp	[&XP&La fuerza de tu vida aumenta.]

// HASH_VALUE F6946C73AF4FA0DA
// INDEX 5080
progress_mission_gain	[&TSK&Completar la misión te da experiencia en la habilidad '$s$'.]

// HASH_VALUE 2DEC65020E8B53BC
// INDEX 5081
progress_normal_gain_p	[&XP&Ganas $i$ puntos de experiencia en '$s$'.]

// HASH_VALUE 64FAE0010AC89C6F
// INDEX 5082
progress_normal_gain_1	[&XP&Ganas 1 punto de experiencia en '$s$'.]

// HASH_VALUE 6216ECC8B4159B59
// INDEX 5083
progress_normal_gain_0	[&XP&No ganas experiencia en '$s$'.]

// HASH_VALUE 169A9BBD32F7E680
// INDEX 5084
progress_no_gain	[&CHK&no ganas experiencia en'$s$', esta acción es muy fácil.]

// HASH_VALUE D79304100546044D
// INDEX 5085
progress_sap	[&XP&Tu savia aumenta.]

// HASH_VALUE 6D41C0B1C96C3F30
// INDEX 5086
progress_skill	[&XP&Tu habilidad '$s$' ahora está en nivel  $i$.]

// HASH_VALUE D843580AA419AB6A
// INDEX 5087
progress_sta	[&XP&Tu resistencia aumenta]

// HASH_VALUE 7CE322803D03E3D0
// INDEX 5088
progress_unlock_skill	[&XP&Bien hecho! Has obtenido la habilidad de avanzada de '$s$' que comienza en el nivel $i$.]

// HASH_VALUE 96BD6E022ACAE531
// INDEX 5089
pyr_city_welcomer_1_p_bc_answer_ha_1	[Como comerciantes de armadura pesada, tenemos a $merchant_ha$, $merchant_ham$ y $merchant_hah$, te los voy a mostrar.]

// HASH_VALUE D22095AB91A8F3DE
// INDEX 5090
pyr_city_welcomer_1_p_bc_answer_hm_1	[Como comerciantes de armas pesadas a dos manos, tenemos a $merchant_lm_2$, $merchant_lmm_2$ and $merchant_lmh_2$, te los voy a mostrar.]

// HASH_VALUE 38C61038959548B4
// INDEX 5091
pyr_city_welcomer_1_p_bc_answer_jw_1	[Como comerciantes de joyas, tenemos a $merchant_jw$, $merchant_jwm$ y $merchant_jwh$, te los voy a mostrar.]

// HASH_VALUE 1265B6062B0A1DA7
// INDEX 5092
pyr_city_welcomer_1_p_bc_answer_la_1	[Como comerciantes de armaduras ligeras, tenemos a $merchant_la$, $merchant_lam$ y $merchant_lah$, te los voy a mostrar.]

// HASH_VALUE 4EB91982E98EA201
// INDEX 5093
pyr_city_welcomer_1_p_bc_answer_lm_1	[Como comerciantes de armas de una sola mano, tenemos a $merchant_lm$, $merchant_lmm$ y $merchant_lmh$, te los voy a mostrar.]

// HASH_VALUE 5309CD7CCCB2A256
// INDEX 5094
pyr_city_welcomer_1_p_bc_answer_ma_1	[Como comerciante de armaduras medianas, tenemos a $merchant_ma$, $merchant_mam$ y $merchant_mah$, te los voy a mostrar.]

// HASH_VALUE 82EBE9690767C806
// INDEX 5095
pyr_city_welcomer_1_p_bc_answer_mk_1	[Como comerciantes de establecimientos, tenemos a $merchant_mk_1$, $merchant_mk_2$ y $merchant_mk_3$ te los voy a indicar en tu mapa.]

// HASH_VALUE FC5A8AF82AAB7AB0
// INDEX 5096
pyr_city_welcomer_1_p_bc_answer_rw_1	[Como comerciantes de materias primas, tenemos a $merchant_rw_1$, $merchant_rw_2$ y $merchant_rwh$, te los voy a mostrar.]

// HASH_VALUE E051EA7D1A4C9CEB
// INDEX 5097
pyr_city_welcomer_1_p_t2_welcomer	[Estoy buscando por alguién en la ciudad]

// HASH_VALUE 57444C4B07E9EC38
// INDEX 5098
pyr_city_welcomer_2_pyr_city_welcomer_2_p_auto_guide1	[Estoy buscando por un oficial Pyr.]

// HASH_VALUE BCE72DFB520718D6
// INDEX 5099
pyr_city_welcomer_2_pyr_city_welcomer_2_p_auto_guide2	[Estoy buscando por otros oficiales Pyr.]

// HASH_VALUE 6DE2225AA030B370
// INDEX 5100
o	[Una poderosa arma, una armadura sólida... en mi equipo de Guardabosques no tengo nada que temer!]

// HASH_VALUE 19BCA43C173A905C
// INDEX 5101
rangestate1	[Buenas armas de alcance, ven a verlas!]

// HASH_VALUE 1247F86BAF90A480
// INDEX 5102
rangestate2	[No quieres una espada? Ven a ver nuestras mercancías!]

// HASH_VALUE D9CB13DA4E9F960C
// INDEX 5103
rangestate3	[Pistolas y municiones, arcos y felchas, no dudes en revisarlas!]

// HASH_VALUE 72FB38A219591329
// INDEX 5104
rangestate4	[Las mejores pistolas de Natae, venga a ver!]

// HASH_VALUE C3C2C093D966FC8B
// INDEX 5105
rangestate5	[Nuevas pistolas de arco y cañones de proa!]

// HASH_VALUE 37924ACA4C7A5044
// INDEX 5106
