bot name	translated name	sheet_name
group_fde_guardian_fyros_heal	$gn_group_fde_guardian_fyros_heal$	
group_fde_guardian_fyros_melee	$gn_group_fde_guardian_fyros_melee$	
group_fde_guardian_fyros_nuke	$gn_group_fde_guardian_fyros_nuke$	
group_fde_guardian_fyros_range	$gn_group_fde_guardian_fyros_range$	
group_fde_guardian_fyros_root	$gn_group_fde_guardian_fyros_root$	
akiolulkulk	Meron Mekops	fyhc2
aovi	Kyseus Deps	fyhc2
aovik	Xymus Xalon	fyfc2
auzxtaznfys	Nichi Gidi	mahc3
avaselvyus	Cioni Tinarini	mafc3
be	Ba'Nakry Jorkry	trhc3
beh	Mac'Laughan Darra	trhc3
chichaichai	Hiai-Kang Heoi	zohc2
chofio	Ba-Nung Cioi	zoha3
chofoy	Cai-Ci Vang	zofc3
chychao	Ce-Ni We	zorai_guard_z_h
choshya	Fai-Cu Guai	zorai_guard_z_f
choshyo	Ce-Ni Vao	zorai_guard_z_f
chtachoa	Fai-Cu Cuo	zorai_guard_z_h
chtychia	Ce-Ni Bong	zofc1
chyafyo	Mac'Darrroy Effer	tryker_guard_t_h
chyashay	Ba'Massey Arny	tryker_guard_t_h
fairhaven_kami_master	$gn_fairhaven_kami_master$	kami_preacher_b
fohmcha	Mac'arnin Deppan	tryker_guard_t_h
foichoa	Be'Daghan Kearoy	tryker_guard_t_h
guard_company_caster_1	$gn_guard_company_caster$	tribe_company_of_the_eternal_t_treat_adept_z_h
guard_company_footman_1	$gn_guard_company_footman$	tribe_company_of_the_eternal_t_milician_z_h
guard_company_footman_2	$gn_guard_company_footman$	tribe_company_of_the_eternal_t_milician_z_h
guard_company_footman_3	$gn_guard_company_footman$	tribe_company_of_the_eternal_t_milician_z_h
guard_company_sergent_1	$gn_guard_company_sergent$	tribe_company_of_the_eternal_t_professional_z_f
of	Xacus Lyseus	fyros_guard_f_h
ofaurufo	Pleton Cegrips	fyros_guard_f_h
pyr_karavan_officer	$gn_pyr_karavan_officer$	karavan_emissary_h
r_07_13_boss	$gn_r_07_13_boss$	cuthroat_d_melee_c_m_h
r_07_13_guard_1	$gn_r_07_13_guard$	cuthroat_c_melee_heal_m_f
r_07_13_guard_2	$gn_r_07_13_guard$	cuthroat_c_melee_c_m_h
r_07_13_guard_3	$gn_r_07_13_guard$	cuthroat_c_melee_c_m_h
r_07_13_guard_4	$gn_r_07_13_guard$	cuthroat_c_melee_c_m_h
tribe_antikamis_tribe_chief	Pei-Jeng Pingi	tribe_antikamis_noble_z_f
tribe_barkers_tribe_chief	Pebus Ibiraan	tribe_barkers_forager_f_h
tribe_beachcombers_tribe_chief	Ba-Ben Len	tribe_beachcombers_magician_z_f
tribe_black_circle_tribe_chief	Ba'Wity Codgan	tribe_black_circle_noble_t_h
tribe_company_of_the_eternal_tree_tribe_chief	Be-Pian Biani	
tribe_corsairs_tribe_chief	Ba'Nakry Codgan	tribe_corsair_soldier_t_h
tribe_dune_riders_tribe_chief	Piion Deps	tribe_dune_riders_diplomat_f_h
tribe_frahar_chief	Rrak	tribe_frahar_ancient_e
tribe_gibbay_chief	Amagastaï	tribe_gibbay_wise_f
tribe_goo_heads_tribe_chief	Gicha Cirinia	tribe_goo_heads_magician_m_f
tribe_hamazans_of_the_dead_seed_tribe_chief	Tinaera Rosirello	tribe_hamazans_of_the_dead_see_archery_lord_m_f
tribe_icon_workshipers_tribe_chief	Pei-Ziao Pingi	tribe_icon_workshipers_noble_z_h
tribe_lagoon_brothers_tribe_chief	Mac'Doyghan Brermen	tribe_lagoon_brothers_bodyguard_t_h
tribe_lawless_tribe_chief	Ulythus Apocaps	tribe_lawless_magician_f_f
tribe_leviers_tribe_chief	Lyan Deps	tribe_leviers_bodyguard_f_h
tribe_master_of_the_goo_tribe_chief	Bo-Qung Fao	tribe_master_of_the_goo_noble_z_h
tribe_matisian_border_guards_tribe_chief	Gine Pindi	tribe_matisian_border_guards_sergent_m_h
tribe_renegades_tribe_chief	Xyrius Cegrips	tribe_renegades_noble_f_h
tribe_restorers_tribe_chief	Lekos Daraan	tribe_restorers_noble_f_h
tribe_scorchers_tribe_chief	Staero Tririni	tribe_scorchers_arcane_master_m_h
tribe_slavers_tribe_chief	Plerus Pelorus	tribe_slavers_trader_f_h
tribe_smuglers_tribe_chief	Rochi Anichio	tribe_smuglers_trader_m_h
tryker_kami_master	$gn_tryker_kami_master$	kami_preacher_e
yshishia	Tinaera Rosipi	matis_guard_m_f
ysichay	Gicha Cirello	matis_guard_m_f
kami_adept	$gn_kami_adept$	
kami_guardian	$gn_kami_guardian$	
fyros_war_master_event	$gn_fyros_war_master_event$	
fyros_supply_master_event	$gn_fyros_supply_master_event$	
fyros_craftsman_master_event	$gn_fyros_craftsman_master_event$	
fyros_armoury_master_event	$gn_fyros_armoury_master_event$	
fyros_recruiting_officer_event	$gn_fyros_recruiting_officer_event$	
fyros_treasury_officer_event	$gn_fyros_treasury_officer_event$	
matis_war_master_event	$gn_matis_war_master_event$	
matis_supply_master_event	$gn_matis_supply_master_event$	
matis_craftsman_master_event	$gn_matis_craftsman_master_event$	
matis_armoury_master_event	$gn_matis_armoury_master_event$	
matis_recruiting_officer_event	$gn_matis_recruiting_officer_event$	
matis_treasury_officer_event	$gn_matis_treasury_officer_event$	
tryker_war_master_event	$gn_tryker_war_master_event$	
tryker_supply_master_event	$gn_tryker_supply_master_event$	
tryker_craftsman_master_event	$gn_tryker_craftsman_master_event$	
tryker_armoury_master_event	$gn_tryker_armoury_master_event$	
tryker_recruiting_officer_event	$gn_tryker_recruiting_officer_event$	
tryker_treasury_officer_event	$gn_tryker_treasury_officer_event$	
zorai_war_master_event	$gn_zorai_war_master_event$	
zorai_supply_master_event	$gn_zorai_supply_master_event$	
zorai_craftsman_master_event	$gn_zorai_craftsman_master_event$	
zorai_armoury_master_event	$gn_zorai_armoury_master_event$	
zorai_recruiting_officer_event	$gn_zorai_recruiting_officer_event$	
zorai_treasury_officer_event	$gn_zorai_treasury_officer_event$	
dyron_guard_chief_guards_01	Xacaon Lyseus	fyros_guard_f_h
dyron_guard_chief_guards_02	Krin Eubus	fyros_guard_f_h
fairhaven_kami_adept_001	$gn_kami_adept$	tribe_company_of_the_eternal_t_noble_m_h
fairhaven_kami_adept_002	$gn_kami_adept$	tribe_company_of_the_eternal_t_treat_adept_z_h
fyros_kami_master	$gn_fyros_kami_master$	kami_preacher_4
matis_kami_master	$gn_matis_kami_master$	kami_preacher_b
prime_roots_kami_master	$gn_prime_roots_kami_master$	kami_preacher_3
pyr_adept_kami001	$gn_kami_adept$	fyhc1old
pyr_adept_kami002	$gn_kami_adept$	fyhc2mid
pyr_adept_kami003	$gn_kami_adept$	fyha1mid
r_01_10_guard	Vicho Pinti	cuthroat_d_melee_a_m_h
r_03_47_smith_1	Eurius Apocaps	fyhc1mid
r_03_47_smith_2	Dyrius Cegrips	fyhc1mid
tribe_ancient_dryads_tribe_chief	Gicha Ciri	tribe_ancient_dryads_diplomat_m_f
tribe_cholorogoos_tribe_chief	Be'Keeer Kealey	tribe_cockroaches_noble_t_h
tribe_cockroaches_tribe_chief	Ba'Caunin Jidgen	tribe_cockroaches_forager_t_h
tribe_cute_chief	Glimmeek	tribe_cute_venerable_f
tribe_darkening_sap_tribe_chief	Lira Nisti	tribe_darkening_sap_noble_m_f
tribe_ecowarriors_tribe_chief	Ba'Naer Lipsie	tribe_ecowarriors_warchief_t_f
tribe_firebrands_tribe_chief	Plerius Pelorus	tribe_firebrands_noble_f_f
tribe_first_deserter_tribe_chief	Rocho Anichio	tribe_first_deserter_professional_m_h
tribe_frahar_hunters_tribe_chief	Tirius Pelorus	tribe_frahar_hunters_warlock_f_h
tribe_green_seed_tribe_chief	Antoccio Zavaldo	tribe_green_seed_trader_m_h
tribe_keepers_tribe_chief	Ciochi Miano	tribe_keepers_noble_m_h
tribe_kitin_gatheres_tribe_chief	Mac'Rippsey Leassey	tribe_lagoon_brothers_trader_t_f
tribe_night_turners_tribe_chief	Aenix Cegrips	tribe_night_turners_traveler_f_h
tribe_oasis_diggers_tribe_chief	Icanix Cegrips	tribe_pyromancers_diplomat_f_h
tribe_pyromancers_tribe_chief	Deutheus Eubus	tribe_pyromancers_noble_f_h
tribe_recoverers_tribe_chief	Do-Vi Liangi	tribe_recoverers_warchief_z_h
tribe_root_tappers_tribe_chief	Diobus Apocaps	tribe_root_tappers_forager_f_f
tribe_sacred_sap_tribe_lieutenant	$gn_tribe_sacred_sap_tribe_lieutenant$	tribe_sacred_sap_conjurer_z_h
tribe_sap_gleaners_tribe_chief	Do-Vi Gei	tribe_sap_gleaners_magician_z_h
tribe_sap_slaves_tribe_chief	Beero Antozzo	tribe_sap_slaves_noble_m_h
tribe_siblings_of_the_weeds_tribe_chief	Cai-Ci Fuangi	tribe_siblings_of_the_weeds_noble_z_f
tribe_the_arid_matis_tribe_chief	Gicha Varinia	tribe_the_arid_matis_cure_expert_m_f
tribe_the_kuilde_tribe_chief	Mithus Xalon	tribe_the_kuilde_trader_f_h
tribe_the_slash_and_burn_tribe_chief	Ciosse Stari	tribe_the_slash_and_burn_forager_m_h
tribe_woven_bridles_tribe_chief	Titis Pelorus	tribe_woven_bridles_magician_f_h
thesos_guard_chief_guard_001	Merius Mekops	fyros_guard_f_f
thesos_guard_chief_guard_002	Icaps Cegrips	fyros_guard_f_f
arratio	Piseus Mekops	fyhc3_ra1
arvitau	Therius Cekian	fyfc3_ra2
avlaetzus	Sicha Pido	mafc3_ra1
axaxynvus	Anicho Trichio	mahc3_ra4
bejc	Be'Mapsey Gaxy	trhc3_rs2
beo	Ba'Reiliam Cauins	trfc3_rs1
chochoi	Do-Vi Geoi	zofc3_ra3
chychia	Ba-Ben Ging	zohc3_rs1
fyros_karavan_officer	$gn_fyros_karavan_officer$	karavan_officer_k_h_e
matis_karavan_officer	$gn_matis_karavan_officer$	karavan_officer_k_h_f
nexus_karavan_officer	$gn_nexus_karavan_officer$	karavan_officer_k_f_f
tryker_karavan_officer	$gn_tryker_karavan_officer$	karavan_officer_k_f_e
zora_karavan_officer	$gn_zora_karavan_officer$	karavan_officer_k_f_b
zorai_karavan_officer	$gn_zorai_karavan_officer$	karavan_officer_k_h_d
zorai_melasse_merchant	Ca-Na Dao	zofc3mid
Goo Spot	$gn_Goo_Spot$	
Tower	$gn_Tower$	
kuilde_guard	$gn_kuilde_guard$	
tribe_cutes_guards	$gn_tribe_cutes_guards$	
fyros_general_event	$gn_fyros_general_event$	
matis_general_event	$gn_matis_general_event$	
tryker_general_event	$gn_tryker_general_event$	
zorai_general_event	$gn_zorai_general_event$	
fyros_officer_event	$gn_fyros_officer_event$	
matis_officer_event	$gn_matis_officer_event$	
tryker_officer_event	$gn_tryker_officer_event$	
zorai_officer_event	$gn_zorai_officer_event$	
matis_royal_guard_event	$gn_matis_royal_guard_event$	
matis_royal_soldier_event	$gn_matis_royal_soldier_event$	
fyros_imperial_guard_event	$gn_fyros_imperial_guard_event$	
fyros_imperial_soldier_event	$gn_fyros_imperial_soldier_event$	
zorai_dynastic_guard_event	$gn_zorai_dynastic_guard_event$	
zorai_dynastic_soldier_event	$gn_zorai_dynastic_soldier_event$	
tryker_federal_guard_event	$gn_tryker_federal_guard_event$	
tryker_federal_soldier_event	$gn_tryker_federal_soldier_event$	
karavan_commander_event	$gn_karavan_commander_event$	
karavan_officer_event	$gn_karavan_officer_event$	
karavan_ally_event	$gn_karavan_ally_event$	
karavan_commando_event	$gn_karavan_commando_event$	
karavan_ship_event	$gn_karavan_ship_event$	
kami_warlord_event	$gn_kami_warlord_event$	
kami_keeper_event	$gn_kami_keeper_event$	
kami_ally_event	$gn_kami_ally_event$	
kami_fighter_event	$gn_kami_fighter_event$	
kitin_commander_event	$gn_kitin_commander_event$	
kitin_leader_event	$gn_kitin_leader_event$	
kitin_protector_event	$gn_kitin_protector_event$	
kitin_guard_event	$gn_kitin_guard_event$	
kitin_raider_event	$gn_kitin_raider_event$	
kitin_patrol_event	$gn_kitin_patrol_event$	
infected_frahar_high_chief_event	$gn_infected_frahar_high_chief_event$	
infected_gibbai_high_chief_event	$gn_infected_gibbai_high_chief_event$	
infected_cute_high_chief_event	$gn_infected_cute_high_chief_event$	
infected_frahar_hero_event	$gn_infected_frahar_hero_event$	
infected_gibbai_hero_event	$gn_infected_gibbai_hero_event$	
infected_cute_hero_event	$gn_infected_cute_hero_event$	
infected_frahar_defender_event	$gn_infected_frahar_defender_event$	
infected_gibbai_defender_event	$gn_infected_gibbai_defender_event$	
infected_cute_defender_event	$gn_infected_cute_defender_event$	
infected_frahar_guard_leader_event	$gn_infected_frahar_guard_leader_event$	
infected_gibbai_guard_leader_event	$gn_infected_gibbai_guard_leader_event$	
infected_cute_guard_leader_event	$gn_infected_cute_guard_leader_event$	
infected_frahar_guard_event	$gn_infected_frahar_guard_event$	
infected_gibbai_guard_event	$gn_infected_gibbai_guard_event$	
infected_cute_guard_event	$gn_infected_cute_guard_event$	
infected_frahar_raid_leader_event	$gn_infected_frahar_raid_leader_event$	
infected_gibbai_raid_leader_event	$gn_infected_gibbai_raid_leader_event$	
infected_cute_raid_leader_event	$gn_infected_cute_raid_leader_event$	
infected_frahar_raider_event	$gn_infected_frahar_raider_event$	
infected_gibbai_raider_event	$gn_infected_gibbai_raider_event$	
infected_cute_raider_event	$gn_infected_cute_raider_event$	
infected_frahar_hunt_leader_event	$gn_infected_frahar_hunt_leader_event$	
infected_gibbai_hunt_leader_event	$gn_infected_gibbai_hunt_leader_event$	
infected_cute_hunt_leader_event	$gn_infected_cute_hunt_leader_event$	
infected_frahar_patrol_event	$gn_infected_frahar_patrol_event$	
infected_gibbai_patrol_event	$gn_infected_gibbai_patrol_event$	
infected_cute_patrol_event	$gn_infected_cute_patrol_event$	
frahar_high_chief_event	$gn_frahar_high_chief_event$	
gibbai_high_chief_event	$gn_gibbai_high_chief_event$	
cute_high_chief_event	$gn_cute_high_chief_event$	
frahar_hero_event	$gn_frahar_hero_event$	
gibbai_hero_event	$gn_gibbai_hero_event$	
cute_hero_event	$gn_cute_hero_event$	
frahar_defender_event	$gn_frahar_defender_event$	
gibbai_defender_event	$gn_gibbai_defender_event$	
cute_defender_event	$gn_cute_defender_event$	
frahar_shaman_event	$gn_frahar_shaman_event$	
gibbai_shaman_event	$gn_gibbai_shaman_event$	
cute_shaman_event	$gn_cute_shaman_event$	
frahar_guard_leader_event	$gn_frahar_guard_leader_event$	
gibbai_guard_leader_event	$gn_gibbai_guard_leader_event$	
cute_guard_leader_event	$gn_cute_guard_leader_event$	
frahar_guard_event	$gn_frahar_guard_event$	
gibbai_guard_event	$gn_gibbai_guard_event$	
cute_guard_event	$gn_cute_guard_event$	
frahar_witch_doctor_event	$gn_frahar_witch_doctor_event$	
gibbai_witch_doctor_event	$gn_gibbai_witch_doctor_event$	
cute_witch_doctor_event	$gn_cute_witch_doctor_event$	
frahar_hunt_leader_event	$gn_frahar_hunt_leader_event$	
gibbai_hunt_leader_event	$gn_gibbai_hunt_leader_event$	
cute_hunt_leader_event	$gn_cute_hunt_leader_event$	
frahar_patrol_event	$gn_frahar_patrol_event$	
gibbai_patrol_event	$gn_gibbai_patrol_event$	
cute_patrol_event	$gn_cute_patrol_event$	
frahar_raid_leader_event	$gn_frahar_raid_leader_event$	
gibbai_raid_leader_event	$gn_gibbai_raid_leader_event$	
cute_raid_leader_event	$gn_cute_raid_leader_event$	
frahar_raider_event	$gn_frahar_raider_event$	
gibbai_raider_event	$gn_gibbai_raider_event$	
cute_raider_event	$gn_cute_raider_event$	
frahar_shaman_raider_event	$gn_frahar_shaman_raider_event$	
gibbai_shaman_raider_event	$gn_gibbai_shaman_raider_event$	
cute_shaman_raider_event	$gn_cute_shaman_raider_event$	
cuthroat_high_chief_event	$gn_cuthroat_high_chief_event$	
cuthroat_hero_event	$gn_cuthroat_hero_event$	
bandit_leader_event	$gn_bandit_leader_event$	
cuthroat_patrol_event	$gn_cuthroat_patrol_event$	
cuthroat_raid_leader_event	$gn_cuthroat_raid_leader_event$	
cuthroat_raider_event	$gn_cuthroat_raider_event$	
cuthroat_defender_event	$gn_cuthroat_defender_event$	
cuthroat_guard_leader_event	$gn_cuthroat_guard_leader_event$	
cuthroat_guard_event	$gn_cuthroat_guard_event$	
goo_warder_yelk_event	$gn_goo_warder_yelk_event$	
goo_warder_slaveni_event	$gn_goo_warder_slaveni_event$	
goo_warder_stinga_event	$gn_goo_warder_stinga_event$	
goo_warder_varinx_event	$gn_goo_warder_varinx_event$	
goo_warder_torbak_event	$gn_goo_warder_torbak_event$	
fyros_herald_m1_event	$gn_fyros_herald_event$	
fyros_herald_m2_event	$gn_fyros_herald_event$	
fyros_herald_m3old_event	$gn_fyros_herald_event$	
fyros_herald_f1_event	$gn_fyros_herald_event$	
fyros_herald_f2_event	$gn_fyros_herald_event$	
fyros_herald_f3old_event	$gn_fyros_herald_event$	
matis_herald_m1_event	$gn_matis_herald_event$	
matis_herald_m2_event	$gn_matis_herald_event$	
matis_herald_m3old_event	$gn_matis_herald_event$	
matis_herald_f1_event	$gn_matis_herald_event$	
matis_herald_f2_event	$gn_matis_herald_event$	
matis_herald_f3old_event	$gn_matis_herald_event$	
tryker_herald_m1_event	$gn_tryker_herald_event$	
tryker_herald_m2_event	$gn_tryker_herald_event$	
tryker_herald_m3old_event	$gn_tryker_herald_event$	
tryker_herald_f1_event	$gn_tryker_herald_event$	
tryker_herald_f2_event	$gn_tryker_herald_event$	
tryker_herald_f3old_event	$gn_tryker_herald_event$	
zorai_herald_m1_event	$gn_zorai_herald_event$	
zorai_herald_m2_event	$gn_zorai_herald_event$	
zorai_herald_m3old_event	$gn_zorai_herald_event$	
zorai_herald_f1_event	$gn_zorai_herald_event$	
zorai_herald_f2_event	$gn_zorai_herald_event$	
zorai_herald_f3old_event	$gn_zorai_herald_event$	
kami_herald_fym_event	$gn_kami_herald_event$	
kami_herald_fyf_event	$gn_kami_herald_event$	
kami_herald_mam_event	$gn_kami_herald_event$	
kami_herald_maf_event	$gn_kami_herald_event$	
kami_herald_trm_event	$gn_kami_herald_event$	
kami_herald_trf_event	$gn_kami_herald_event$	
kami_herald_zom_event	$gn_kami_herald_event$	
kami_herald_zof_event	$gn_kami_herald_event$	
karavan_herald_m1_event	$gn_karavan_herald_event$	
karavan_herald_m2_event	$gn_karavan_herald_event$	
karavan_herald_m3_event	$gn_karavan_herald_event$	
karavan_herald_f1_event	$gn_karavan_herald_event$	
karavan_herald_f2_event	$gn_karavan_herald_event$	
karavan_herald_f3_event	$gn_karavan_herald_event$	
fyros_representative_m1_event	$gn_fyros_representative_event$	
fyros_representative_m2_event	$gn_fyros_representative_event$	
fyros_representative_m3old_event	$gn_fyros_representative_event$	
fyros_representative_f1_event	$gn_fyros_representative_event$	
fyros_representative_f2_event	$gn_fyros_representative_event$	
fyros_representative_f3old_event	$gn_fyros_representative_event$	
matis_representative_m1_event	$gn_matis_representative_event$	
matis_representative_m2_event	$gn_matis_representative_event$	
matis_representative_m3old_event	$gn_matis_representative_event$	
matis_representative_f1_event	$gn_matis_representative_event$	
matis_representative_f2_event	$gn_matis_representative_event$	
matis_representative_f3old_event	$gn_matis_representative_event$	
tryker_representative_m1_event	$gn_tryker_representative_event$	
tryker_representative_m2_event	$gn_tryker_representative_event$	
tryker_representative_m3old_event	$gn_tryker_representative_event$	
tryker_representative_f1_event	$gn_tryker_representative_event$	
tryker_representative_f2_event	$gn_tryker_representative_event$	
tryker_representative_f3old_event	$gn_tryker_representative_event$	
zorai_representative_m1_event	$gn_zorai_representative_event$	
zorai_representative_m2_event	$gn_zorai_representative_event$	
zorai_representative_m3old_event	$gn_zorai_representative_event$	
zorai_representative_f1_event	$gn_zorai_representative_event$	
zorai_representative_f2_event	$gn_zorai_representative_event$	
zorai_representative_f3old_event	$gn_zorai_representative_event$	
kami_representative_fym_event	$gn_kami_representative_event$	
kami_representative_fyf_event	$gn_kami_representative_event$	
kami_representative_mam_event	$gn_kami_representative_event$	
kami_representative_maf_event	$gn_kami_representative_event$	
kami_representative_trm_event	$gn_kami_representative_event$	
kami_representative_trf_event	$gn_kami_representative_event$	
kami_representative_zom_event	$gn_kami_representative_event$	
kami_representative_zof_event	$gn_kami_representative_event$	
karavan_representative_m1_event	$gn_karavan_representative_event$	
karavan_representative_m2_event	$gn_karavan_representative_event$	
karavan_representative_m3_event	$gn_karavan_representative_event$	
karavan_representative_f1_event	$gn_karavan_representative_event$	
karavan_representative_f2_event	$gn_karavan_representative_event$	
karavan_representative_f3_event	$gn_karavan_representative_event$	
fyros_recruiting_officer_m1_event	$gn_fyros_recruiting_officer_event$	
fyros_recruiting_officer_m2_event	$gn_fyros_recruiting_officer_event$	
fyros_recruiting_officer_m3old_event	$gn_fyros_recruiting_officer_event$	
fyros_recruiting_officer_f1_event	$gn_fyros_recruiting_officer_event$	
fyros_recruiting_officer_f2_event	$gn_fyros_recruiting_officer_event$	
fyros_recruiting_officer_f3old_event	$gn_fyros_recruiting_officer_event$	
matis_recruiting_officer_m1_event	$gn_matis_recruiting_officer_event$	
matis_recruiting_officer_m2_event	$gn_matis_recruiting_officer_event$	
matis_recruiting_officer_m3old_event	$gn_matis_recruiting_officer_event$	
matis_recruiting_officer_f1_event	$gn_matis_recruiting_officer_event$	
matis_recruiting_officer_f2_event	$gn_matis_recruiting_officer_event$	
matis_recruiting_officer_f3old_event	$gn_matis_recruiting_officer_event$	
tryker_recruiting_officer_m1_event	$gn_tryker_recruiting_officer_event$	
tryker_recruiting_officer_m2_event	$gn_tryker_recruiting_officer_event$	
tryker_recruiting_officer_m3old_event	$gn_tryker_recruiting_officer_event$	
tryker_recruiting_officer_f1_event	$gn_tryker_recruiting_officer_event$	
tryker_recruiting_officer_f2_event	$gn_tryker_recruiting_officer_event$	
tryker_recruiting_officer_f3old_event	$gn_tryker_recruiting_officer_event$	
zorai_recruiting_officer_m1_event	$gn_zorai_recruiting_officer_event$	
zorai_recruiting_officer_m2_event	$gn_zorai_recruiting_officer_event$	
zorai_recruiting_officer_m3old_event	$gn_zorai_recruiting_officer_event$	
zorai_recruiting_officer_f1_event	$gn_zorai_recruiting_officer_event$	
zorai_recruiting_officer_f2_event	$gn_zorai_recruiting_officer_event$	
zorai_recruiting_officer_f3old_event	$gn_zorai_recruiting_officer_event$	
kami_recruiting_officer_fym_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_fyf_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_mam_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_maf_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_trm_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_trf_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_zom_event	$gn_kami_recruiting_officer_event$	
kami_recruiting_officer_zof_event	$gn_kami_recruiting_officer_event$	
karavan_recruiting_officer_m1_event	$gn_karavan_recruiting_officer_event$	
karavan_recruiting_officer_m2_event	$gn_karavan_recruiting_officer_event$	
karavan_recruiting_officer_m3_event	$gn_karavan_recruiting_officer_event$	
karavan_recruiting_officer_f1_event	$gn_karavan_recruiting_officer_event$	
karavan_recruiting_officer_f2_event	$gn_karavan_recruiting_officer_event$	
karavan_recruiting_officer_f3_event	$gn_karavan_recruiting_officer_event$	
fyros_scout_m1_event	$gn_fyros_scout_event$	
fyros_scout_m2_event	$gn_fyros_scout_event$	
fyros_scout_m3old_event	$gn_fyros_scout_event$	
fyros_scout_f1_event	$gn_fyros_scout_event$	
fyros_scout_f2_event	$gn_fyros_scout_event$	
fyros_scout_f3old_event	$gn_fyros_scout_event$	
matis_scout_m1_event	$gn_matis_scout_event$	
matis_scout_m2_event	$gn_matis_scout_event$	
matis_scout_m3old_event	$gn_matis_scout_event$	
matis_scout_f1_event	$gn_matis_scout_event$	
matis_scout_f2_event	$gn_matis_scout_event$	
matis_scout_f3old_event	$gn_matis_scout_event$	
tryker_scout_m1_event	$gn_tryker_scout_event$	
tryker_scout_m2_event	$gn_tryker_scout_event$	
tryker_scout_m3old_event	$gn_tryker_scout_event$	
tryker_scout_f1_event	$gn_tryker_scout_event$	
tryker_scout_f2_event	$gn_tryker_scout_event$	
tryker_scout_f3old_event	$gn_tryker_scout_event$	
zorai_scout_m1_event	$gn_zorai_scout_event$	
zorai_scout_m2_event	$gn_zorai_scout_event$	
zorai_scout_m3old_event	$gn_zorai_scout_event$	
zorai_scout_f1_event	$gn_zorai_scout_event$	
zorai_scout_f2_event	$gn_zorai_scout_event$	
zorai_scout_f3old_event	$gn_zorai_scout_event$	
kami_scout_forest_small_event	$gn_kami_scout_event$	
kami_scout_forest_big_event	$gn_kami_scout_event$	
kami_scout_jungle_small_event	$gn_kami_scout_event$	
kami_scout_jungle_big_event	$gn_kami_scout_event$	
kami_scout_desert_small_event	$gn_kami_scout_event$	
kami_scout_desert_big_event	$gn_kami_scout_event$	
kami_scout_prime_small_event	$gn_kami_scout_event$	
kami_scout_prime_big_event	$gn_kami_scout_event$	
karavan_scout_m1_event	$gn_karavan_scout_event$	
karavan_scout_m2_event	$gn_karavan_scout_event$	
karavan_scout_m3_event	$gn_karavan_scout_event$	
karavan_scout_f1_event	$gn_karavan_scout_event$	
karavan_scout_f2_event	$gn_karavan_scout_event$	
karavan_scout_f3_event	$gn_karavan_scout_event$	
fyros_diplomat_m1_event	$gn_fyros_diplomat_event$	
fyros_diplomat_m2_event	$gn_fyros_diplomat_event$	
fyros_diplomat_m3old_event	$gn_fyros_diplomat_event$	
fyros_diplomat_f1_event	$gn_fyros_diplomat_event$	
fyros_diplomat_f2_event	$gn_fyros_diplomat_event$	
fyros_diplomat_f3old_event	$gn_fyros_diplomat_event$	
matis_diplomat_m1_event	$gn_matis_diplomat_event$	
matis_diplomat_m2_event	$gn_matis_diplomat_event$	
matis_diplomat_m3old_event	$gn_matis_diplomat_event$	
matis_diplomat_f1_event	$gn_matis_diplomat_event$	
matis_diplomat_f2_event	$gn_matis_diplomat_event$	
matis_diplomat_f3old_event	$gn_matis_diplomat_event$	
tryker_diplomat_m1_event	$gn_tryker_diplomat_event$	
tryker_diplomat_m2_event	$gn_tryker_diplomat_event$	
tryker_diplomat_m3old_event	$gn_tryker_diplomat_event$	
tryker_diplomat_f1_event	$gn_tryker_diplomat_event$	
tryker_diplomat_f2_event	$gn_tryker_diplomat_event$	
tryker_diplomat_f3old_event	$gn_tryker_diplomat_event$	
zorai_diplomat_m1_event	$gn_zorai_diplomat_event$	
zorai_diplomat_m2_event	$gn_zorai_diplomat_event$	
zorai_diplomat_m3old_event	$gn_zorai_diplomat_event$	
zorai_diplomat_f1_event	$gn_zorai_diplomat_event$	
zorai_diplomat_f2_event	$gn_zorai_diplomat_event$	
zorai_diplomat_f3old_event	$gn_zorai_diplomat_event$	
fyros_citizen_m1_event	$gn_fyros_citizen_event$	
fyros_citizen_m2_event	$gn_fyros_citizen_event$	
fyros_citizen_m3old_event	$gn_fyros_old_citizen_event$	
fyros_citizen_f1_event	$gn_fyros_citizen_event$	
fyros_citizen_f2_event	$gn_fyros_citizen_event$	
fyros_citizen_f3old_event	$gn_fyros_old_citizen_event$	
matis_citizen_m1_event	$gn_matis_citizen_event$	
matis_citizen_m2_event	$gn_matis_citizen_event$	
matis_citizen_m3old_event	$gn_matis_old_citizen_event$	
matis_citizen_f1_event	$gn_matis_citizen_event$	
matis_citizen_f2_event	$gn_matis_citizen_event$	
matis_citizen_f3old_event	$gn_matis_old_citizen_event$	
tryker_citizen_m1_event	$gn_tryker_citizen_event$	
tryker_citizen_m2_event	$gn_tryker_citizen_event$	
tryker_citizen_m3old_event	$gn_tryker_old_citizen_event$	
tryker_citizen_f1_event	$gn_tryker_citizen_event$	
